# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	28.7999763304	58.6696050392	54.0986972332	58.3237957901	52.284836124
5.0	28.3695584244	58.8377257846	53.8147611708	57.7984293172	53.2856299454
10.0	28.7491955606	58.3813143793	53.7281318452	55.9478424103	53.2457553047
15.0	29.292630657	58.5153408198	53.3050857622	55.1578063051	52.4846391214
20.0	28.9081159543	60.3492354994	51.9555871023	52.4332617689	52.906762273
25.0	29.7630012895	57.7004213466	53.9348349079	50.0876118116	52.2990871822
30.0	29.8801899037	56.493742907	53.8440261609	49.0344105707	53.4583903583
35.0	29.654864935	58.6941140931	53.5917814649	52.7627926969	51.5629345832
40.0	29.5428321195	57.8043313453	53.9521563959	53.1359523927	52.3150680403
45.0	29.0081410254	59.1121907873	54.1659212132	53.1970028476	51.8781296051
50.0	29.0085635732	58.5629554783	54.0544674566	53.6175155377	52.4847203854
55.0	29.263427878	59.5174059762	53.1516438748	53.8663547948	51.8082327676
60.0	29.4689551497	58.5862962858	52.6514190682	54.1206140939	52.7530755946
65.0	29.5232763779	56.6924349663	54.7149610629	49.5781426888	53.1353008388
70.0	29.4454202987	58.0527031406	53.7285355791	52.432359509	52.5331637407
75.0	28.4696579446	58.4789953841	55.2530435964	50.8320977965	52.8462784595
80.0	29.1919189468	59.4784755825	53.0968805546	49.8250792771	52.4436602094
85.0	28.7186742015	58.41671483	54.0743772133	52.3422492885	53.3204149892
90.0	28.592963622	58.6757813657	53.6866927604	51.5596921585	53.7399498769
95.0	28.7552070274	57.2560909545	53.5410888278	56.2740364052	54.4948214962
100.0	28.8732305832	58.8937422219	53.746942016	55.0911879036	52.5540464634
105.0	41.4912879267	27.9698178059	52.8613492273	53.8608906604	52.9902177158
110.0	29.0182105209	58.7990571061	53.2168412621	51.6952713838	53.1754628023
115.0	29.2539727935	57.5748071261	52.6793934904	52.8396062518	54.2975176457
120.0	29.3112132848	58.9656680466	52.7398584125	47.4475379362	53.2769022728
125.0	28.7190813336	60.1938264615	52.9871062262	48.9975377229	52.8554562994
130.0	29.29977431	57.2042668018	56.371377823	46.422222515	51.8953661833
135.0	29.1054798908	58.2545677057	54.1212857879	45.2623872265	53.3747195245
140.0	29.300620346	58.4844114747	53.6235379988	48.8100658279	52.8477730984
145.0	29.3731194999	57.8006052502	53.0301497654	47.1930139771	54.0824050217
150.0	29.0563407382	58.4175936431	53.5785428745	49.9233363128	53.33228056
155.0	29.3661238676	58.5906543761	53.6593296419	51.3102505609	52.3283033858
160.0	29.1654932381	58.3674666378	53.2166087326	48.654035344	53.6167937331
165.0	28.8650247669	58.4265429521	52.5378035069	48.2002238315	54.8149927648
170.0	29.42200212	58.0710930613	52.1971047823	47.6154862558	54.4215602586
175.0	29.6367583919	58.1396194659	51.102946122	46.7760488391	54.9922376948
180.0	29.5020929235	57.7290925717	52.2184364972	49.8390250242	54.3618661122
185.0	29.127771345	58.5455204981	52.5569241628	48.3578845856	54.1375912981
190.0	29.5266600734	59.504224639	51.6731623397	51.6540812149	52.8467971855
195.0	29.8459773397	58.4444587813	53.0421796866	43.4866759096	52.852583145
200.0	29.3962773096	58.3934931126	52.9503826543	43.8213726002	53.8521324488
205.0	28.8373021583	59.3985256657	51.2642377247	46.7162964997	55.1930912267
210.0	30.1507859872	58.9978614159	50.9108357985	45.6823947678	53.3882385909
215.0	30.3149376439	57.7420465172	51.3760919572	42.00325856	54.2649379146
220.0	30.3496381027	57.1028207979	53.0867571046	40.1594274349	53.4794753079
225.0	30.1983454148	56.2200337513	51.8256343338	41.2433233448	55.6915159896
230.0	30.4876852764	56.4238766364	51.3373634672	41.0302835284	55.3697610569
235.0	30.783013905	56.6974141976	51.5835406655	40.7205695958	54.3149288646
240.0	30.1601189006	58.8143393844	51.4447482259	44.9509743601	53.1456981178
245.0	30.7052749581	56.3869921479	51.3582024711	44.3790252734	54.6177724772
250.0	30.3317854245	58.3892910402	51.7349960454	49.4128901435	52.5199663479
255.0	29.8869307186	58.4601474637	53.8876005213	44.4708953083	51.8956885443
260.0	30.2606734965	58.8053433665	53.0945220204	47.570284212	51.2068829624
265.0	29.770136197	59.2986878752	52.4232831703	46.6648976715	52.3892243285
270.0	29.6270666181	59.189931983	52.0233415437	45.2959714269	53.280886398
275.0	30.2309288081	57.3604894682	52.1067572295	47.1425095403	53.642886968
280.0	30.4280444814	57.4753602939	51.0804800852	47.1506453318	54.0566272791
285.0	29.8301726577	59.4575043857	51.2518912139	48.7209742109	52.9590306326
290.0	30.101255203	59.0960841895	51.4957876388	43.6587997244	53.0649021145
295.0	29.4238634034	59.4320269164	51.3897305366	46.7828972233	53.8668203261
300.0	29.7550806111	58.4980832913	52.4288032695	43.0760265589	53.5738137555
305.0	30.1848023536	58.2777269384	52.3291344812	41.0597337151	53.2261159381
310.0	30.1363178559	59.7787175521	51.1923323104	44.5249485984	52.4986451744
315.0	30.43239415	59.2129029909	50.9732169833	41.3697885931	52.9850779339
320.0	30.4035453429	57.9680937778	50.6804064106	47.3975366895	53.948241826
325.0	29.5970545214	59.4652753018	50.9239403058	46.8651972615	53.8982652025
330.0	29.4136647244	59.8532505771	51.4731868793	49.3663533805	53.1324654528
335.0	29.5073444808	60.220573724	50.0669231026	47.5843859784	54.021747537
340.0	29.8301848121	58.2588755697	52.0431569131	47.1239621381	53.6050889712
345.0	29.2103840224	59.1979760944	52.4251566656	50.8622797844	53.1879211061
350.0	30.1102764496	58.8670917933	51.0187779815	48.9624762905	53.1748274064
355.0	29.5360196886	59.5401224731	50.5317126707	42.3426324083	54.7506434923
360.0	30.5182322046	57.7110608579	50.5955511561	43.2071985483	54.4714549196
365.0	28.4470933813	58.1525077948	43.6478389619	48.3640315997	53.9874772445
370.0	30.1804011561	58.4115923311	51.1204744984	45.0018188533	53.7946569087
375.0	30.5262513493	59.2534424401	50.9255935142	47.6619124535	52.1703775531
380.0	28.2014012624	56.7209083454	43.0663425817	42.8963472598	36.3215322662
385.0	27.9120086511	56.7264138453	42.9954720467	46.5007488406	36.4505367269
390.0	27.8639360085	59.283004387	43.6588284972	47.8142271507	53.7639991873
395.0	29.775281802	60.8636565373	50.4181416862	45.4948977561	52.7355692983
400.0	28.7500474711	59.811431591	43.7208255048	44.7145591599	52.3948469333
405.0	28.2422056867	59.7873213016	43.6662761613	47.442542296	52.3536960257
410.0	30.7456961057	59.6569159289	50.9284667796	50.5188618846	51.0398262734
415.0	28.2194211662	60.3446027803	43.6266119375	49.4261126969	51.6707439726
420.0	28.2849852287	54.7241924624	42.587282969	41.3131710898	36.1316970227
425.0	28.7734686542	57.5809012948	43.7019264136	45.6588370836	52.2178244815
430.0	28.4118663827	56.9057333169	43.0598421295	44.0796622241	35.9607085342
435.0	28.4470044685	56.5539066981	43.0285304586	42.490055935	36.6251229252
440.0	28.592057994	58.6082865588	43.7032720676	45.5928322492	52.3953725722
445.0	28.0621301076	59.0574452924	43.6082140593	50.3450338624	52.8710225689
450.0	28.1688820732	57.1692420137	43.1304226787	45.9852011429	36.0447331764
455.0	28.3385556809	60.3815028733	43.6723634818	47.1380038365	51.2864787889
460.0	30.2898113773	59.2748161936	51.0654195335	43.4899503418	52.9134013042
465.0	29.2365819181	57.0495588377	52.1786876519	43.4622800157	37.0061479096
470.0	30.2049040503	60.0304792118	51.0095384623	41.3797772444	52.5887312503
475.0	30.4143097394	60.5273739555	50.4742269198	40.0729249859	52.2854937139
480.0	29.761127093	60.1862943424	51.0270769147	38.5832951276	53.5843307625
485.0	30.2314643905	58.3418010997	51.2334505162	45.0453703797	53.6562392721
490.0	30.0279208229	59.463841999	52.9855412296	46.0400393249	51.2649565287
495.0	29.2653593163	56.8158642692	43.6629067896	47.610884047	51.9501015581
500.0	30.4677172466	58.4911633811	52.3641704917	45.9015662338	51.9310714233
505.0	31.2879972485	58.1989009375	51.1368506164	49.6949684827	51.3080460387
510.0	30.5641680773	59.9980613265	51.2557541383	47.3958326749	51.0795288377
515.0	30.7609692724	59.1371758252	51.711265434	48.7310718458	51.0032225817
