# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	29.4335898209	53.4863905702	55.3422136061	57.683674516	55.1457442782
5.0	28.920827985	56.1395714496	53.6735322502	52.5992405974	55.5282845705
10.0	29.8989148402	53.7035560136	54.4103948596	54.8242153722	55.1223896547
15.0	29.1691304037	54.4148020012	54.9175733711	56.6402482847	55.2326869881
20.0	28.4008021998	54.6880077879	57.2966717357	55.1745038786	54.5015519891
25.0	29.1409528219	53.7238469617	55.6826304868	52.7742151662	55.6780701475
30.0	28.9294232014	54.2341283369	55.2977069065	55.7590057585	55.6387532813
35.0	29.7646295272	53.5449702891	53.8811295133	58.610523154	55.6472782695
40.0	29.1568366076	54.1841481049	55.6004847294	59.1013271891	54.6272228872
45.0	30.079453995	54.3655139634	55.1411192015	59.5928314169	52.9648722362
50.0	29.6315574174	53.0153234136	55.6307369892	61.64489892	54.5650390831
55.0	30.2397013537	50.940502355	56.0930923612	62.9491429177	54.8769568226
60.0	29.9385402559	51.4267236704	55.3065390148	61.9866954564	55.7972994923
65.0	30.6871669076	51.3414977634	55.3195986773	59.8091017201	54.5911352651
70.0	29.9931012016	52.0577434054	54.5538449517	65.4772426311	55.3854814592
75.0	30.0004107472	50.7936231732	56.7341994156	66.1435032479	54.6061049931
80.0	29.5177123674	51.4384887008	56.8409646908	64.5366972032	54.9912425894
85.0	30.009118957	51.2955347384	55.646986908	63.0730145603	55.3722414772
90.0	29.2637518446	53.1655574449	55.2538572036	62.7978506155	55.3743332573
95.0	29.3201636966	52.367677358	57.7097401934	63.806068235	53.748207713
100.0	30.2655529539	52.2729836145	55.4535145987	62.6119073927	54.1021493628
105.0	31.0548844069	53.043515761	57.6311510349	63.3326666562	55.0252682158
110.0	29.2264553565	52.9288497013	56.2380635337	66.7018925809	54.4093945622
115.0	29.4921413968	52.5754953935	55.7648844641	64.1516419924	54.9122962146
120.0	30.4712880369	52.110432857	55.3893085884	59.9252254929	54.1796608279
125.0	30.6811344062	51.0108139563	55.6272332689	62.4371249889	54.3942984951
130.0	30.7106422716	51.5433346477	54.9764249384	65.3961821242	54.0925929874
135.0	30.6712683451	52.4471757834	55.1798763247	64.8770069765	53.1362544468
140.0	31.0405649954	52.8002883316	54.7987897804	59.5148361402	52.9237147008
145.0	30.905519574	53.9025912631	54.501877015	61.1458753994	52.1956812368
150.0	30.8057787459	52.8594159942	53.4746034058	72.6116545402	53.2163166193
155.0	30.1246852462	53.2462887062	54.903749409	65.9711350081	53.5694051944
160.0	30.8439360538	54.1982573601	53.2714889687	68.2217230708	52.4229478003
165.0	30.9658981322	53.327680755	54.1597719186	66.1339941273	52.4589534923
170.0	30.4051825417	55.1276646781	54.7060247163	64.5232702182	51.4498536775
175.0	30.4319057617	54.4397423978	54.0145107304	69.3963203535	52.2192999763
180.0	29.8397829524	55.0800366873	54.7109044567	62.9166543352	52.7845546152
185.0	30.4749668895	54.1674121312	53.9717948943	55.6724571741	53.8164244971
190.0	30.4776035504	54.198124083	55.00937399	56.4565166318	52.7681595742
195.0	30.2878638979	55.005097149	55.3570671908	57.2335696632	51.9500731941
200.0	30.2459270292	53.6143782943	55.5495532457	57.4125434561	53.2335390869
205.0	29.887239912	53.5415423504	56.436795708	57.3408764883	53.2323308379
210.0	30.0629986036	53.3972779731	56.2490263937	64.1060627951	52.5176602292
215.0	30.2950643959	52.7807678186	54.7325141377	64.4387909749	54.0015594926
220.0	30.329027374	54.1705798065	55.0467433176	60.157667004	52.6892035397
225.0	29.7619791416	54.7316222477	54.95232627	57.4602528642	53.6168844252
230.0	29.6430886522	52.7294479954	57.9889350711	55.4311071145	53.3269179907
235.0	29.411663783	52.802829989	58.9915769521	54.6014283073	52.8969434139
240.0	29.3776722418	53.7470804979	59.0099044981	53.0424782094	52.1599864695
245.0	29.0960586882	54.525608289	57.9864197338	52.2283325672	52.9471985093
250.0	29.562089935	54.707539944	56.4037479073	56.0645547622	52.8741165551
255.0	29.625502026	53.9733897405	57.1550290351	59.7512957594	52.4364421566
260.0	29.4960931749	53.774365439	55.841944256	55.2749017106	54.5238822094
265.0	28.8834686715	54.4764468089	58.0009684241	53.9393210322	53.2374451198
270.0	29.3576375484	53.5914781062	57.1943230576	53.51147605	53.9428332186
275.0	29.5219529611	54.1535829049	55.984185957	52.6865238976	54.2237040669
280.0	29.1825971557	53.9240520536	56.7221109687	57.1744852662	54.0189750733
285.0	29.3170923342	54.0280968384	55.9206605589	55.0628188062	54.5784747384
290.0	29.1085597542	55.0647938064	56.3428841063	52.9647605363	53.7886984958
295.0	28.8821724457	55.0649041291	57.278906044	55.9799931741	53.0973654783
300.0	29.1819136399	55.2170568179	56.8527060825	54.0735569659	52.9199739642
