# Time(ps)	Thickness
0.0	46.3086608887
5.0	45.6740152995
10.0	45.8225687663
15.0	45.8063232422
20.0	45.2808329264
25.0	45.6752421061
30.0	45.5250915527
35.0	45.491792806
40.0	45.6524922689
45.0	45.6827860514
50.0	45.4112019857
55.0	45.502150472
60.0	45.4604960124
65.0	45.4520467122
70.0	45.5795837402
75.0	45.6023824056
80.0	45.5468282064
85.0	45.5803405762
90.0	45.3262817383
95.0	45.8102132161
100.0	45.8568664551
105.0	46.3864179193
110.0	45.2414265951
115.0	45.0500020345
120.0	44.8915140788
125.0	44.8352600098
130.0	44.9070861816
135.0	44.8204325358
140.0	45.3188903809
145.0	45.1849141439
150.0	45.2061157227
155.0	44.9967631022
160.0	44.7622477214
165.0	44.7814127604
170.0	45.0130269368
175.0	44.9896362305
180.0	45.064839681
185.0	45.7263285319
190.0	45.3476867676
195.0	45.7161376953
200.0	45.6888468424
205.0	45.5043721517
210.0	45.7513285319
215.0	45.5880167643
220.0	45.8446492513
225.0	45.4854044596
230.0	45.4498881022
235.0	45.7181355794
240.0	45.0126525879
245.0	45.1368774414
250.0	45.1818908691
255.0	45.3177530924
260.0	45.344720459
265.0	45.1613871257
270.0	45.3978190104
275.0	45.3054036458
280.0	45.085925293
285.0	44.7668212891
290.0	45.001949056
295.0	45.1089416504
300.0	44.9821044922
305.0	45.089457194
310.0	45.2541564941
315.0	45.0288757324
320.0	45.5983846029
325.0	45.5772562663
330.0	45.6149190267
335.0	45.323055013
340.0	45.4826171875
345.0	45.4451680501
350.0	45.4883911133
355.0	45.3991739909
360.0	45.4374043783
365.0	46.4709194977
370.0	45.7049601237
375.0	45.5061197917
380.0	46.8454478128
385.0	46.8792283194
390.0	46.2281285711
395.0	45.3674072266
400.0	46.5493635914
405.0	46.4820013502
410.0	45.5662272135
415.0	46.4614299906
420.0	47.7347632
425.0	46.8143613346
430.0	47.4792646681
435.0	47.3260503496
440.0	46.2461378121
445.0	46.7903703089
450.0	47.1569538116
455.0	46.5643317336
460.0	45.3582621257
465.0	45.9644096468
470.0	45.0659525553
475.0	44.9970031738
480.0	44.9094563802
485.0	45.0956807454
490.0	45.6453755697
495.0	46.40457985
500.0	45.3668151855
505.0	45.4609110514
510.0	45.4765075684
515.0	45.3157958984
520.0	45.6952494303
525.0	45.7431864421
530.0	45.3695027669
535.0	45.2311279297
540.0	45.2167277018
545.0	45.2829101562
550.0	44.9675272624
555.0	44.9039123535
560.0	45.371496582
565.0	45.457208252
570.0	45.203531901
575.0	45.1929748535
580.0	45.0130269368
585.0	46.2586473713
590.0	46.2254522576
595.0	45.6932434082
600.0	45.2042500814
605.0	45.0867370605
610.0	44.7594014486
615.0	45.3977783203
620.0	45.2840840658
625.0	45.3004191081
630.0	45.4945068359
635.0	45.7723775228
640.0	45.6717590332
645.0	45.3192789714
650.0	45.4964355469
655.0	45.7697937012
660.0	45.8729064941
665.0	45.7177775065
670.0	45.7141072591
675.0	45.1360107422
680.0	45.0388081868
685.0	45.2673278809
690.0	45.3281534831
695.0	45.0772155762
700.0	45.5414550781
705.0	45.8720153809
710.0	45.5594746908
715.0	45.8231079102
720.0	45.6955240885
725.0	45.6565551758
730.0	45.9119934082
735.0	45.4669921875
740.0	45.4704874674
745.0	45.4675577799
750.0	45.530069987
755.0	45.876357015
760.0	45.6417236328
765.0	45.2369689941
770.0	45.2619628906
775.0	44.8591206868
780.0	46.0320386367
785.0	45.6639864607
790.0	46.0661952408
795.0	45.1916097005
800.0	45.3135009766
805.0	46.0840270792
810.0	45.3874674479
815.0	46.6609115601
820.0	46.1886885901
825.0	47.0484578269
830.0	46.8545374189
835.0	46.7070783888
840.0	46.373378393
845.0	46.4140303191
