# Time(ps)	Thickness
0.0	31.2253570557
5.0	30.7173233032
10.0	30.8438156128
15.0	30.7807983398
20.0	30.3525894165
25.0	30.6388534546
30.0	30.5146102905
35.0	30.6487075806
40.0	30.6876922607
45.0	30.6708297729
50.0	30.3995635986
55.0	30.5432647705
60.0	30.4676925659
65.0	30.5340087891
70.0	30.5341812134
75.0	30.4318313599
80.0	30.5022018433
85.0	30.3896057129
90.0	30.2328964233
95.0	30.7896865845
100.0	30.822605896
105.0	31.3586066975
110.0	30.2938278198
115.0	30.2454437256
120.0	30.2034637451
125.0	30.2571594238
130.0	30.196257019
135.0	30.1560089111
140.0	30.5815963745
145.0	30.421762085
150.0	30.5074691772
155.0	30.2623855591
160.0	30.1156158447
165.0	30.0759262085
170.0	30.2902191162
175.0	30.3500289917
180.0	30.5302902222
185.0	30.8602783203
190.0	30.399206543
195.0	30.8658874512
200.0	30.6895263672
205.0	30.6356994629
210.0	30.7980621338
215.0	30.5369018555
220.0	31.0844970703
225.0	30.8564987183
230.0	30.8399520874
235.0	30.9736663818
240.0	30.4434432983
245.0	30.4998672485
250.0	30.5169174194
255.0	30.5876754761
260.0	30.5363189697
265.0	30.5132736206
270.0	30.7070465088
275.0	30.7313720703
280.0	30.4153305054
285.0	30.21925354
290.0	30.4217254639
295.0	30.5122680664
300.0	30.3843276978
305.0	30.6131866455
310.0	30.6788009644
315.0	30.3838363647
320.0	30.8126525879
325.0	30.9122253418
330.0	30.8971221924
335.0	30.5819351196
340.0	30.6527999878
345.0	30.6770080566
350.0	30.7445495605
355.0	30.647013855
360.0	30.6712036133
365.0	31.4162552996
370.0	30.7636688232
375.0	30.6823608398
380.0	32.1017662565
385.0	32.0363943153
390.0	31.2258684398
395.0	30.5438552856
400.0	31.572340478
405.0	31.5859552113
410.0	30.8415359497
415.0	31.6690516564
420.0	33.1290178089
425.0	31.8835822911
430.0	32.6126291375
435.0	32.4926192587
440.0	31.4847429286
445.0	31.7474422491
450.0	32.342131727
455.0	31.6637594236
460.0	30.6960769653
465.0	31.3365821671
470.0	30.5921081543
475.0	30.4849380493
480.0	30.4564437866
485.0	30.4808776855
490.0	30.8390853882
495.0	31.6385821736
500.0	30.710295105
505.0	30.8255905151
510.0	30.8695770264
515.0	30.8491653442
520.0	30.9671829224
525.0	30.9640380859
530.0	30.7319137573
535.0	30.586366272
540.0	30.6566848755
545.0	30.676348877
550.0	30.4697402954
555.0	30.384815979
560.0	30.8488296509
565.0	31.0056625366
570.0	30.7023788452
575.0	30.6406417847
580.0	30.4745925903
585.0	31.6033290078
590.0	31.6590829244
595.0	30.9938262939
600.0	30.6437927246
605.0	30.4465362549
610.0	30.2915435791
615.0	30.7020996094
620.0	30.5247421265
625.0	30.4924133301
630.0	30.7065933228
635.0	30.8376449585
640.0	30.7769332886
645.0	30.6499984741
650.0	30.6083023071
655.0	30.7711074829
660.0	30.7721328735
665.0	30.7984161377
670.0	30.8491241455
675.0	30.4949493408
680.0	30.5374969482
685.0	30.6979995728
690.0	30.617326355
695.0	30.3335617065
700.0	30.6983047485
705.0	30.9786727905
710.0	30.5730834961
715.0	30.9423919678
720.0	30.8504333496
725.0	30.8798400879
730.0	30.9343963623
735.0	30.5879302979
740.0	30.52996521
745.0	30.620475769
750.0	30.8482269287
755.0	31.0165756226
760.0	30.8457168579
765.0	30.5628982544
770.0	30.654498291
775.0	30.3116668701
780.0	31.5055626731
785.0	31.0937546187
790.0	31.3929909807
795.0	30.5593856812
800.0	30.6195968628
805.0	31.3874821666
810.0	30.8132598877
815.0	32.1407492119
820.0	31.5590647017
825.0	32.3761888853
830.0	32.284756921
835.0	32.1656848267
840.0	31.6244329723
845.0	31.6723006811
850.0	31.3824054844
855.0	30.4333343506
860.0	30.4590087891
865.0	31.9996036539
870.0	30.3513412476
875.0	31.0185424805
880.0	30.4283752441
885.0	31.8260725927
890.0	30.5374954224
895.0	31.7058315027
900.0	31.5233337517
905.0	30.8205093384
910.0	30.7690628052
915.0	30.9959213257
920.0	31.0277618408
925.0	30.8159759521
930.0	31.0905014038
935.0	30.7310775757
940.0	30.5823364258
945.0	30.6210540771
950.0	30.7079376221
