# Time(ps)	Thickness
0.0	4.76837165309e-08
5.0	8.46385944442e-07
10.0	2.81333927887e-06
15.0	6.79492927702e-07
20.0	1.48415563217e-06
25.0	4.75645083498e-06
30.0	7.33137142106e-07
35.0	8.10623191683e-07
40.0	9.53674316406e-07
45.0	2.1755695343e-06
50.0	1.84774398804e-06
55.0	2.38418579102e-07
60.0	1.75237653366e-06
65.0	2.31266017181e-06
70.0	1.09672544113e-06
75.0	1.09672544113e-06
80.0	2.12192526305e-06
85.0	6.02006934969e-07
90.0	2.26497650146e-06
95.0	1.39474866501e-06
100.0	3.71932992493e-06
105.0	9.77516151579e-07
110.0	1.14440922516e-06
115.0	1.22785570511e-06
120.0	8.34465026855e-07
125.0	8.58306862028e-07
130.0	7.39097572477e-07
135.0	3.69548786239e-07
140.0	2.90870661956e-06
145.0	4.64916240617e-07
150.0	1.53779978973e-06
155.0	1.21593473068e-06
160.0	2.09212294067e-06
165.0	6.0796736534e-07
170.0	6.13927852555e-07
175.0	1.31130218506e-06
180.0	9.29832481233e-07
185.0	1.48415563217e-06
190.0	2.74181360282e-07
195.0	1.14440922516e-06
200.0	2.62260437012e-06
205.0	7.74860353658e-08
210.0	2.43783006226e-06
215.0	1.81198117843e-06
220.0	1.32322315949e-06
225.0	3.9398669287e-06
230.0	9.83476638794e-07
235.0	2.98023223877e-08
240.0	7.15255737305e-07
245.0	7.39097572477e-07
250.0	1.31130221348e-07
255.0	7.80820869295e-07
260.0	4.76837158203e-07
265.0	6.73532497331e-07
270.0	7.86781299666e-07
275.0	1.2218952179e-06
280.0	1.04904177078e-06
285.0	1.10268592834e-06
290.0	9.83476638794e-07
295.0	3.81469732247e-07
300.0	1.13844873795e-06
305.0	8.58306862028e-07
310.0	2.43783006226e-06
315.0	1.80602069122e-06
320.0	9.65595290836e-07
325.0	1.42455098739e-06
330.0	6.37769687728e-07
335.0	9.11951076432e-07
340.0	2.54511837738e-06
345.0	1.87754631042e-06
350.0	9.11951076432e-07
355.0	8.16583622054e-07
360.0	6.13927852555e-07
365.0	1.43051153145e-07
370.0	2.26497647304e-07
375.0	1.40070915222e-06
380.0	1.84774393119e-07
385.0	2.26497650146e-06
390.0	1.65104870575e-06
395.0	4.8875807579e-07
400.0	3.69548786239e-07
405.0	8.82148754044e-07
410.0	1.04904177078e-06
415.0	5.24520885392e-07
420.0	2.55107875091e-06
425.0	1.15633008591e-06
430.0	3.81469732247e-07
435.0	2.20537185669e-06
440.0	2.3484230951e-06
445.0	2.31266017181e-06
450.0	3.68356700164e-06
455.0	2.0027159735e-06
460.0	9.53674316406e-07
465.0	5.36441802979e-07
470.0	5.12599967806e-07
475.0	9.4175339882e-07
480.0	6.67572010116e-07
485.0	1.44243244904e-06
490.0	0.0
495.0	4.29153431014e-07
500.0	1.19209289551e-06
505.0	8.34465012645e-08
510.0	1.50203709381e-06
515.0	1.00135798675e-06
520.0	1.44243244904e-06
525.0	3.31401815856e-06
530.0	6.91413902132e-07
535.0	1.83582301361e-06
540.0	1.31130218506e-06
545.0	6.19888282927e-07
550.0	7.15255737305e-07
555.0	1.74045567292e-06
560.0	7.39097572477e-07
565.0	1.34706499466e-06
570.0	7.51018546907e-07
575.0	1.16825106034e-06
580.0	3.21865087471e-07
585.0	1.63316724411e-06
590.0	1.31130221348e-07
595.0	9.53674316406e-07
600.0	5.60283638151e-07
605.0	1.76429750809e-06
610.0	1.25169754028e-06
615.0	9.53674330617e-08
620.0	3.00407418763e-06
625.0	1.1205672763e-06
630.0	9.53674316406e-07
635.0	5.96046447754e-08
640.0	1.06096263153e-06
645.0	1.90734866123e-07
650.0	8.58306862028e-07
655.0	2.50339496688e-07
660.0	1.28746034989e-06
665.0	1.13248825073e-06
670.0	1.13248825073e-06
675.0	6.91413902132e-07
680.0	1.32322315949e-06
685.0	1.09672544113e-06
690.0	3.81469732247e-07
695.0	1.38282780426e-06
700.0	5.00678993376e-07
705.0	1.43051153145e-07
710.0	1.91926960724e-06
715.0	2.27689747589e-06
720.0	2.08616256714e-06
725.0	2.3484230951e-06
730.0	2.38418579102e-07
735.0	1.60932540894e-06
740.0	9.05990589217e-07
745.0	2.40802773988e-06
750.0	1.48415563217e-06
755.0	1.18613240829e-06
760.0	2.47955313171e-06
765.0	2.36630444306e-06
770.0	1.07288357754e-07
775.0	2.05039987122e-06
780.0	1.1205672763e-06
785.0	1.7344951857e-06
790.0	2.98023223877e-08
795.0	6.91413902132e-07
800.0	1.19209289551e-06
805.0	6.19888282927e-07
810.0	2.38418582654e-08
815.0	3.0636788324e-06
820.0	1.46627428421e-06
825.0	1.41859050018e-06
830.0	1.84774393119e-07
835.0	4.29153431014e-07
840.0	3.77893456971e-06
845.0	3.86238116334e-06
850.0	8.82148754044e-07
855.0	3.69548786239e-07
860.0	2.47955313171e-06
865.0	1.7344951857e-06
870.0	1.13248825073e-06
875.0	1.32322315949e-06
880.0	7.7486038208e-07
885.0	1.93119058167e-06
890.0	2.14576715507e-07
895.0	1.01327896118e-06
900.0	6.79492927702e-07
905.0	7.7486038208e-07
910.0	2.38418582654e-08
915.0	2.96831126434e-06
920.0	4.35113918229e-07
925.0	3.21865087471e-07
930.0	1.45435330978e-06
935.0	1.27553937546e-06
940.0	3.37362280334e-06
945.0	8.46385944442e-07
950.0	1.60932540894e-06
955.0	1.18017192108e-06
960.0	1.74045567292e-06
965.0	1.70469286331e-06
970.0	3.69548797607e-06
975.0	1.46627428421e-06
980.0	2.27689747589e-06
985.0	4.64916240617e-07
990.0	7.98702217253e-07
995.0	1.74045567292e-06
1000.0	2.18152990783e-06
1005.0	7.98702217253e-07
1010.0	3.33786005058e-07
1015.0	2.26497650146e-06
1020.0	3.96966925109e-06
1025.0	9.05990589217e-07
1030.0	1.63316724411e-06
1035.0	2.38418582654e-08
1040.0	6.19888282927e-07
1045.0	5.60283638151e-07
1050.0	3.25441351379e-06
1055.0	1.56164173859e-06
1060.0	3.81469732247e-07
1065.0	1.31130218506e-06
1070.0	1.21593473068e-06
1075.0	1.65700907928e-06
1080.0	9.83476638794e-07
1085.0	1.19209289551e-06
1090.0	3.29017643708e-06
1095.0	3.26633448822e-06
1100.0	4.60147839476e-06
1105.0	1.53779978973e-06
1110.0	2.62260442696e-07
1115.0	2.20537185669e-06
1120.0	2.98023223877e-06
1125.0	3.09944141463e-07
1130.0	3.57627882863e-08
1135.0	1.07288357754e-07
1140.0	4.52995294609e-07
1145.0	2.09808354157e-06
1150.0	7.39097572477e-07
1155.0	1.54972076416e-06
1160.0	2.59876242126e-06
1165.0	2.98023223877e-07
1170.0	1.56164173859e-06
1175.0	1.54972070732e-07
1180.0	3.00407418763e-06
1185.0	2.19345088226e-06
1190.0	2.03847889679e-06
1195.0	2.02655792236e-06
1200.0	2.01463694793e-06
1205.0	3.45706951066e-07
1210.0	3.93390649833e-07
1215.0	5.12599967806e-07
1220.0	1.16825106034e-06
1225.0	1.10864641556e-06
1230.0	3.43322744811e-06
1235.0	1.19209289551e-06
1240.0	1.60932540894e-06
1245.0	9.77516151579e-07
1250.0	2.07424159271e-06
1255.0	1.47819514495e-06
1260.0	2.02655797921e-07
1265.0	1.3589858554e-06
1270.0	1.27553937546e-06
1275.0	3.81469732247e-07
1280.0	2.88486489808e-06
1285.0	2.25305552704e-06
1290.0	1.38282780426e-06
1295.0	1.57356259933e-06
1300.0	1.78813934326e-07
1305.0	1.66893002529e-07
1310.0	2.53915777648e-06
1315.0	3.09944141463e-07
1320.0	2.02655792236e-06
1325.0	9.65595290836e-07
1330.0	1.33514402023e-06
1335.0	7.86781299666e-07
1340.0	2.02655797921e-07
1345.0	1.31130218506e-06
1350.0	6.55651092529e-07
1355.0	4.64916240617e-07
1360.0	4.64916240617e-07
1365.0	2.98023223877e-07
1370.0	2.26497647304e-07
1375.0	4.17232513428e-07
1380.0	1.13248825073e-06
1385.0	1.34706499466e-06
1390.0	3.69548786239e-07
1395.0	2.14576715507e-07
1400.0	1.43051153145e-07
1405.0	7.39097572477e-07
1410.0	1.19209289551e-06
1415.0	5.00678993376e-07
1420.0	1.60932540894e-06
1425.0	2.50339508057e-06
1430.0	2.26497647304e-07
1435.0	2.40802773988e-06
1440.0	2.15768818634e-06
1445.0	8.70227836458e-07
1450.0	1.58548357376e-06
1455.0	7.51018546907e-07
1460.0	9.53674316406e-07
1465.0	2.72989268524e-06
1470.0	1.07288357754e-07
1475.0	4.76837158203e-07
1480.0	6.0796736534e-07
1485.0	1.02519993561e-06
1490.0	6.0796736534e-07
1495.0	1.02519993561e-06
1500.0	1.07288357754e-07
1505.0	2.16960916077e-06
1510.0	7.98702217253e-07
1515.0	3.03983688354e-06
1520.0	7.98702217253e-07
1525.0	1.72853469849e-06
1530.0	6.19888282927e-07
1535.0	1.91926960724e-06
1540.0	6.79492927702e-07
1545.0	1.31130221348e-07
1550.0	1.34706499466e-06
1555.0	1.51395795456e-06
1560.0	7.15255765726e-08
1565.0	2.18152990783e-06
1570.0	1.07288360596e-06
1575.0	3.81469732247e-07
1580.0	1.02519993561e-06
1585.0	3.40938572663e-06
1590.0	7.98702217253e-07
1595.0	1.21593473068e-06
1600.0	5.60283638151e-07
1605.0	1.59740443451e-06
1610.0	2.86102306291e-07
1615.0	1.70469286331e-06
1620.0	9.65595290836e-07
1625.0	7.15255765726e-08
1630.0	1.76429750809e-06
1635.0	1.53779978973e-06
1640.0	1.52587892899e-06
1645.0	2.38418582654e-08
1650.0	5.12599967806e-07
1655.0	8.58306862028e-07
1660.0	3.81469732247e-07
1665.0	1.90734863281e-06
1670.0	2.38418579102e-06
1675.0	3.82661801268e-06
1680.0	1.04904177078e-06
1685.0	7.27176654891e-07
1690.0	2.16960916077e-06
1695.0	1.78813934326e-07
1700.0	2.515316055e-06
1705.0	1.78813934326e-06
1710.0	8.46385944442e-07
1715.0	1.77621836883e-06
1720.0	1.31130221348e-07
1725.0	3.57627868652e-07
1730.0	2.26497650146e-06
1735.0	5.96046447754e-08
1740.0	1.95503230316e-06
1745.0	9.53674316406e-07
1750.0	9.17911506804e-07
1755.0	2.02655797921e-07
1760.0	5.12599967806e-07
1765.0	9.77516151579e-07
1770.0	7.7486038208e-07
1775.0	1.39474866501e-06
1780.0	3.05175785797e-06
1785.0	7.39097572477e-07
1790.0	1.09672544113e-06
1795.0	2.50339496688e-07
1800.0	5.96046447754e-07
1805.0	1.18017192108e-06
1810.0	5.48362720565e-07
1815.0	2.515316055e-06
1820.0	3.45706951066e-07
1825.0	4.17232513428e-06
1830.0	1.88350679764e-06
1835.0	1.04904177078e-06
1840.0	5.48362720565e-07
1845.0	6.31809257357e-07
1850.0	2.76565560853e-06
1855.0	5.48362720565e-07
1860.0	1.06096263153e-06
1865.0	1.23977656585e-06
1870.0	2.0027159735e-06
1875.0	2.81333927887e-06
1880.0	1.54972070732e-07
1885.0	5.24520885392e-07
1890.0	1.31130221348e-07
1895.0	2.62260437012e-06
1900.0	2.19345088226e-06
1905.0	1.59740443451e-06
1910.0	2.14576721191e-06
1915.0	5.12599967806e-07
1920.0	2.27689747589e-06
1925.0	1.00135798675e-06
1930.0	1.97887425202e-06
1935.0	2.55107875091e-06
1940.0	5.72204612581e-07
1945.0	2.36034384216e-06
1950.0	1.22785570511e-06
1955.0	5.48362720565e-07
1960.0	2.74181360282e-07
1965.0	0.0
1970.0	3.40938572663e-06
1975.0	4.05311595841e-07
1980.0	9.53674316406e-07
1985.0	7.27176654891e-07
1990.0	5.48362720565e-07
1995.0	1.07288357754e-07
2000.0	1.0132789896e-07
2005.0	1.14440922516e-06
2010.0	1.460313797e-06
2015.0	1.83582301361e-06
2020.0	4.41074377022e-07
2025.0	1.10864641556e-06
2030.0	2.69412998932e-06
2035.0	5.96046447754e-08
2040.0	9.05990589217e-07
2045.0	1.6629695665e-06
2050.0	2.26497647304e-07
2055.0	2.31862077271e-06
2060.0	2.56299983903e-07
2065.0	1.72853469849e-06
2070.0	6.67572010116e-07
2075.0	1.56164173859e-06
2080.0	5.24520885392e-07
2085.0	1.13248825073e-06
2090.0	2.15768818634e-06
2095.0	3.34382048095e-06
2100.0	1.18613240829e-06
2105.0	4.76837165309e-08
2110.0	3.52263441528e-06
2115.0	1.38282780426e-06
2120.0	1.28746034989e-06
2125.0	2.38418579102e-07
2130.0	1.07288357754e-07
2135.0	1.04904177078e-06
2140.0	1.49011611938e-06
2145.0	1.08480458039e-06
2150.0	2.02655797921e-07
2155.0	4.41074377022e-07
2160.0	2.28881845032e-06
2165.0	1.96695327759e-06
2170.0	1.0192394484e-06
2175.0	6.43730174943e-07
2180.0	2.56299972534e-06
2185.0	2.44379043579e-06
2190.0	2.07424159271e-06
2195.0	1.57356259933e-06
