# Time(ps)	Thickness
0.0	28.7010391235
5.0	28.6747207642
10.0	28.3972061157
15.0	28.7600982666
20.0	29.0444168091
25.0	28.8567276001
30.0	28.762852478
35.0	28.7260848999
40.0	28.8515411377
45.0	28.6948699951
50.0	28.9396987915
55.0	28.8967147827
60.0	28.948274231
65.0	28.7763015747
70.0	28.4703948975
75.0	28.4540893555
80.0	28.728994751
85.0	28.3746871948
90.0	28.4480499268
95.0	28.3141265869
100.0	28.5824111938
105.0	28.2292098999
110.0	28.3581695557
115.0	28.3955276489
120.0	28.2521530151
125.0	28.5240081787
130.0	28.6127151489
135.0	28.7091186523
140.0	28.4962127686
145.0	28.2042739868
150.0	28.3057830811
155.0	28.0428085327
160.0	28.1481231689
165.0	28.1415283203
170.0	28.0470428467
175.0	28.3878967285
180.0	28.5628005981
185.0	28.6088562012
190.0	28.4361663818
195.0	28.4036209106
200.0	28.101725769
205.0	28.2485351562
210.0	28.6310272217
215.0	28.8445587158
220.0	28.7866577148
225.0	28.4338134766
230.0	28.4761352539
235.0	28.7700561523
240.0	28.8136489868
245.0	28.7682556152
250.0	28.9601547241
255.0	28.8743484497
260.0	28.8153671265
265.0	28.8755981445
270.0	28.7937347412
275.0	28.8463897705
280.0	28.8942825317
285.0	28.8999130249
290.0	28.6825149536
295.0	28.5165466309
300.0	28.8527160645
305.0	28.5077423096
310.0	28.6650375366
315.0	28.9033599854
320.0	28.769229126
325.0	28.8522644043
330.0	28.6557540894
335.0	28.4928268433
340.0	28.4902755737
345.0	28.5877563477
350.0	28.5846313477
355.0	28.4520568848
360.0	28.6539321899
365.0	28.7958129883
370.0	28.7055343628
375.0	28.6353912354
380.0	28.6226806641
385.0	28.489151001
390.0	28.4179656982
395.0	28.5782913208
400.0	28.8307449341
405.0	28.5874557495
410.0	28.6305267334
415.0	28.6694747925
420.0	28.5741668701
425.0	28.3294235229
430.0	28.4704452515
435.0	28.6132293701
440.0	28.6475875854
445.0	28.4474884033
450.0	28.4704742432
455.0	28.3887527466
460.0	28.0775634766
465.0	28.7162384033
470.0	28.6058288574
475.0	28.531628418
480.0	28.40859375
485.0	28.3641403198
490.0	28.3778762817
495.0	28.5347488403
500.0	28.2436599731
505.0	28.3422470093
510.0	28.5040542603
515.0	28.308744812
520.0	28.1866531372
525.0	28.4689880371
530.0	28.6384185791
535.0	28.2544296265
540.0	28.4226928711
545.0	28.6097122192
550.0	28.4291275024
555.0	28.3740936279
560.0	28.1617599487
565.0	28.1952728271
570.0	28.5362136841
575.0	28.2751068115
580.0	28.2746841431
585.0	27.9959411621
590.0	28.3337493896
595.0	28.0733581543
600.0	28.3234527588
605.0	28.3840377808
610.0	28.4117095947
615.0	28.5192489624
620.0	28.5412948608
625.0	28.7916381836
630.0	28.7650970459
635.0	28.631022644
640.0	28.6272994995
645.0	28.9909515381
650.0	28.859286499
655.0	28.66612854
660.0	28.6129714966
665.0	28.498765564
670.0	28.5319519043
675.0	28.8085113525
680.0	28.9265182495
685.0	28.8837600708
690.0	28.7013290405
695.0	28.921647644
700.0	29.0170791626
705.0	28.6192962646
710.0	28.7273086548
715.0	28.7551940918
720.0	28.3501144409
725.0	29.033972168
730.0	29.1165985107
735.0	28.7087295532
740.0	28.5974441528
745.0	28.810925293
750.0	28.4190093994
755.0	28.2529510498
760.0	28.1920288086
765.0	28.4264160156
770.0	28.2424682617
775.0	28.152557373
780.0	28.3831787109
785.0	28.4633010864
790.0	28.4053482056
795.0	28.4169754028
800.0	28.4207382202
805.0	28.528125
810.0	28.6126541138
815.0	28.2301483154
820.0	28.0570404053
825.0	28.0631546021
830.0	28.2708969116
835.0	28.1438735962
840.0	28.4487472534
845.0	28.3918319702
850.0	28.1760543823
855.0	28.0308517456
860.0	28.1435516357
865.0	28.1779754639
870.0	27.9221664429
875.0	28.163973999
880.0	28.3550857544
885.0	28.6387283325
890.0	28.4714233398
895.0	28.5712509155
900.0	28.4596603394
905.0	28.4906173706
910.0	28.4595458984
915.0	28.6365829468
920.0	28.262991333
925.0	28.2458297729
930.0	28.2301528931
935.0	28.3056427002
940.0	28.3932189941
945.0	28.4944290161
950.0	28.4832595825
955.0	28.6446884155
960.0	28.5884002686
965.0	28.8017532349
970.0	28.3860565186
975.0	28.5021713257
980.0	28.5505584717
985.0	28.4580596924
990.0	28.1570281982
995.0	28.5280059814
1000.0	28.4238632202
1005.0	28.3958648682
1010.0	28.1107269287
1015.0	28.5356552124
1020.0	28.308241272
1025.0	28.5539611816
1030.0	28.5538070679
1035.0	28.4400283813
1040.0	28.4811859131
1045.0	28.2812225342
1050.0	28.3753692627
1055.0	28.5132827759
1060.0	28.2999954224
1065.0	28.7256835937
1070.0	28.6052200317
1075.0	28.4172241211
1080.0	28.4154800415
1085.0	28.5092315674
1090.0	28.392791748
1095.0	28.3918655396
1100.0	28.4627944946
1105.0	28.4876602173
1110.0	28.1184082031
1115.0	28.3469802856
1120.0	28.5518737793
1125.0	28.1945388794
1130.0	28.1188964844
1135.0	28.1079162598
1140.0	28.2320678711
1145.0	28.1968002319
1150.0	28.271156311
1155.0	28.166166687
1160.0	28.2077438354
1165.0	28.3480606079
1170.0	28.4102981567
1175.0	28.3643890381
1180.0	28.1916259766
1185.0	28.6188323975
1190.0	28.3931060791
1195.0	28.4759429932
1200.0	28.226890564
1205.0	28.1410858154
1210.0	28.2681808472
1215.0	28.3597885132
1220.0	28.2963943481
1225.0	28.5186386108
1230.0	28.5962478638
1235.0	28.7127197266
1240.0	28.3627578735
1245.0	28.7594436646
1250.0	28.7161239624
1255.0	28.7867370605
1260.0	28.5633422852
1265.0	28.7975494385
1270.0	28.5672958374
1275.0	28.5416046143
1280.0	28.2694122314
1285.0	28.4008087158
1290.0	28.5229919434
1295.0	28.8064086914
1300.0	28.5608795166
1305.0	28.626701355
1310.0	28.4882736206
1315.0	28.5492996216
1320.0	28.3826309204
1325.0	28.0876495361
1330.0	28.210899353
1335.0	28.2172592163
1340.0	28.0176071167
1345.0	28.1529434204
1350.0	28.2682632446
1355.0	28.4780090332
1360.0	28.146043396
1365.0	28.2540649414
1370.0	28.2287017822
1375.0	28.2785873413
1380.0	27.9203399658
1385.0	28.0253204346
1390.0	27.9724304199
1395.0	27.9933547974
1400.0	28.0091888428
1405.0	27.8821334839
1410.0	28.0026611328
1415.0	28.2105422974
1420.0	28.3551757813
1425.0	28.0644485474
1430.0	28.1186340332
1435.0	28.3575134277
1440.0	28.187109375
1445.0	28.5099761963
1450.0	27.9341262817
1455.0	28.466960144
1460.0	28.3160552979
1465.0	28.138999939
1470.0	28.2459213257
1475.0	28.1775909424
1480.0	28.3715805054
1485.0	28.2812545776
1490.0	28.3917709351
1495.0	28.1001754761
1500.0	28.0835769653
1505.0	28.2475631714
1510.0	28.0579223633
1515.0	28.1562835693
1520.0	28.1685058594
1525.0	27.9982025146
1530.0	27.9397994995
1535.0	28.1184646606
1540.0	28.204069519
1545.0	28.2199798584
1550.0	27.7927978516
1555.0	27.8432632446
1560.0	27.567276001
1565.0	27.7473297119
1570.0	27.5927383423
1575.0	28.0970809937
1580.0	27.9700912476
1585.0	28.0991363525
1590.0	28.0016708374
1595.0	27.9244827271
1600.0	28.0065231323
1605.0	27.8507049561
1610.0	27.9279174805
1615.0	27.7932769775
1620.0	27.6319259644
1625.0	27.8688613892
1630.0	27.9150512695
1635.0	28.0594726563
1640.0	28.1663589478
1645.0	28.320765686
1650.0	28.2995178223
1655.0	28.3300552368
1660.0	28.4002670288
1665.0	28.4832519531
1670.0	28.3472229004
1675.0	28.161618042
1680.0	28.1527297974
1685.0	28.1855194092
1690.0	28.3001541138
1695.0	28.1651535034
1700.0	28.2940338135
1705.0	28.2458145142
1710.0	28.1384857178
1715.0	28.5108688354
1720.0	28.7759735107
1725.0	28.7474716187
1730.0	28.757019043
1735.0	28.3975875854
1740.0	28.2758560181
1745.0	28.1753463745
1750.0	28.5722946167
1755.0	28.8639556885
1760.0	28.5091247559
1765.0	28.0819580078
1770.0	28.3969619751
1775.0	28.217489624
1780.0	28.0722473145
1785.0	28.1868057251
1790.0	28.0680969238
1795.0	28.2903808594
1800.0	28.4446746826
1805.0	28.0714233398
1810.0	27.9710174561
1815.0	27.85753479
1820.0	28.265397644
1825.0	28.5660614014
1830.0	28.2721511841
1835.0	28.2311981201
1840.0	28.1003219604
1845.0	28.2226150513
1850.0	28.6022827148
1855.0	28.2198150635
1860.0	28.0106048584
1865.0	28.390045166
1870.0	28.4983108521
1875.0	28.3796432495
1880.0	28.4016571045
1885.0	28.4106903076
1890.0	28.2644500732
1895.0	27.9354598999
1900.0	28.3354705811
1905.0	28.4596282959
1910.0	28.3728759766
1915.0	28.5973190308
1920.0	28.1669647217
1925.0	28.5350357056
1930.0	28.5978515625
1935.0	28.0955703735
1940.0	28.3998794556
1945.0	28.4903915405
1950.0	28.5082473755
1955.0	28.3328674316
1960.0	28.2817977905
1965.0	28.4699493408
1970.0	28.7979980469
1975.0	28.8712020874
1980.0	28.9283157349
1985.0	28.504284668
1990.0	28.7480987549
1995.0	28.5963912964
2000.0	28.3829879761
2005.0	28.1618133545
2010.0	27.9494216919
2015.0	27.8471954346
2020.0	27.9882888794
2025.0	28.2678283691
2030.0	28.0853012085
2035.0	28.1066162109
2040.0	27.8957901001
2045.0	28.0665023804
2050.0	28.0554794312
2055.0	27.8294265747
2060.0	27.5289474487
2065.0	27.8320053101
2070.0	28.0317321777
2075.0	28.1693161011
2080.0	28.0508071899
2085.0	28.1669631958
2090.0	28.3486480713
2095.0	28.3683807373
2100.0	28.1134963989
2105.0	28.15284729
2110.0	28.2865829468
2115.0	28.0976699829
2120.0	28.1156539917
2125.0	28.1887634277
2130.0	28.0495025635
2135.0	27.8313476562
2140.0	28.0199935913
2145.0	27.827180481
2150.0	27.9187759399
2155.0	27.9185272217
2160.0	27.7218032837
2165.0	28.264352417
2170.0	27.9484130859
2175.0	28.0833206177
2180.0	28.0209136963
2185.0	28.1407608032
2190.0	28.0738861084
2195.0	27.9190490723
