# Time(ps)	Thickness
0.0	45.1742248535
5.0	45.1476460775
10.0	44.8530700684
15.0	45.2745503743
20.0	45.506233724
25.0	45.2756551107
30.0	45.2910725911
35.0	45.2104268392
40.0	45.4664286296
45.0	45.2030314128
50.0	45.474625651
55.0	45.5453735352
60.0	45.5196879069
65.0	45.4260131836
70.0	45.0608317057
75.0	44.9312561035
80.0	45.1620788574
85.0	44.7357930501
90.0	44.9329101563
95.0	44.7935506185
100.0	44.9874898275
105.0	44.6014485677
110.0	44.76875
115.0	44.6920979818
120.0	44.7693990072
125.0	44.8821085612
130.0	44.9705729167
135.0	45.0875020345
140.0	44.8051656087
145.0	44.5856140137
150.0	44.7524068197
155.0	44.5559041341
160.0	44.6021708171
165.0	44.6239766439
170.0	44.4058247884
175.0	44.7207295736
180.0	44.9643330892
185.0	45.0641520182
190.0	44.9829223633
195.0	44.9269938151
200.0	44.6064331055
205.0	44.9962341309
210.0	45.4368469238
215.0	45.5667134603
220.0	45.3462198893
225.0	44.8537902832
230.0	44.9893432617
235.0	45.3804280599
240.0	45.177520752
245.0	45.2360493978
250.0	45.3529174805
255.0	45.255662028
260.0	45.3298095703
265.0	45.5836324056
270.0	45.569913737
275.0	45.7586568197
280.0	45.7385904948
285.0	45.6264261882
290.0	45.372269694
295.0	45.1573059082
300.0	45.5088562012
305.0	45.1145284017
310.0	45.3288146973
315.0	45.4355529785
320.0	45.3417277018
325.0	45.516973877
330.0	45.3309631348
335.0	45.2424560547
340.0	45.1302469889
345.0	45.0651753743
350.0	45.3344014486
355.0	45.072454834
360.0	45.2789286296
365.0	45.5420939128
370.0	45.2861938477
375.0	45.0941202799
380.0	45.0871704102
385.0	44.9745605469
390.0	44.924995931
395.0	45.1470255534
400.0	45.2692891439
405.0	45.3366088867
410.0	45.3690816243
415.0	45.4949890137
420.0	45.2296630859
425.0	45.0819091797
430.0	45.0877848307
435.0	45.3681559245
440.0	45.3244852702
445.0	45.0695597331
450.0	45.1163696289
455.0	45.1006551107
460.0	44.6852762858
465.0	45.3536865234
470.0	45.2446716309
475.0	45.3627441406
480.0	45.08887736
485.0	44.9824462891
490.0	45.0915934245
495.0	45.227154541
500.0	44.8277933757
505.0	44.9114298503
510.0	45.1149617513
515.0	44.943157959
