# Time(ps)	Thickness
0.0	25.720664978
5.0	25.5526931763
10.0	25.313444519
15.0	25.3018470764
20.0	25.3262428284
25.0	25.2751777649
30.0	25.6176147461
35.0	25.2697563171
40.0	25.7386032104
45.0	25.8757644653
50.0	26.0405471802
55.0	25.8821487427
60.0	25.7260482788
65.0	26.17368927
70.0	25.9639221191
75.0	26.3937057495
80.0	26.1241210937
85.0	26.1102859497
90.0	25.8190475464
95.0	25.7731994629
100.0	25.8544586182
105.0	25.7775772095
110.0	25.8144454956
115.0	25.6541732788
120.0	26.0542861938
125.0	26.1422241211
130.0	26.1541564941
135.0	25.8561172485
140.0	25.9078796387
145.0	26.0581863403
150.0	25.902230835
155.0	26.1199111938
160.0	25.8932510376
165.0	26.0701379122
170.0	26.0390874902
175.0	25.5907058716
180.0	26.0547866821
185.0	25.4081794739
190.0	25.6934692383
195.0	25.5256958008
200.0	25.5442802429
205.0	25.7035202026
210.0	25.507938385
215.0	25.7405380249
220.0	25.8689224243
225.0	25.8360778809
230.0	25.5662940979
235.0	25.5667556763
240.0	25.8306228638
245.0	25.7656326294
250.0	25.712878418
255.0	25.6847017112
260.0	25.6764728864
265.0	25.5244265862
270.0	25.6471405029
275.0	25.582654068
280.0	25.7477379698
285.0	25.928742981
290.0	25.7463729858
295.0	25.4192054749
300.0	25.7926574707
305.0	25.9924423218
310.0	25.9146759033
315.0	26.0847808838
320.0	26.294984436
325.0	26.4998779297
330.0	26.2557518791
335.0	26.4168228149
340.0	26.4571670532
345.0	26.4001464844
350.0	26.281880188
355.0	26.4290466309
360.0	26.4902801514
365.0	26.1361053467
370.0	25.9621170044
375.0	26.0901229858
380.0	26.5370346069
385.0	26.1406539917
390.0	26.3064620972
395.0	26.2842666626
400.0	26.1861450195
405.0	26.3302047729
410.0	26.1105285645
415.0	26.2413757324
420.0	26.1003631592
425.0	26.1299346924
430.0	26.3047668457
435.0	26.3429397583
440.0	26.3227523804
445.0	26.3178726196
450.0	26.1558868408
455.0	25.9746368408
460.0	26.3407302856
465.0	26.5686813354
470.0	26.5427337646
475.0	26.1575637817
480.0	26.3697036743
485.0	25.9230102539
490.0	26.1671066284
495.0	26.5477798462
500.0	26.30340271
505.0	26.1035125732
510.0	26.0471572876
515.0	26.12709198
520.0	26.2169998169
525.0	26.4208786011
530.0	26.2523483276
535.0	26.0879364014
540.0	26.33228302
545.0	26.4973831177
550.0	26.3287384033
555.0	26.6151000977
560.0	26.4248016357
565.0	26.6176635742
570.0	26.2804519653
575.0	26.0535415649
580.0	25.8803390503
585.0	26.1225601196
590.0	26.212348938
