# Time(ps)	Thickness
0.0	41.1302815755
5.0	41.0863423665
10.0	40.7065938314
15.0	40.5225870768
20.0	40.7255859375
25.0	40.5952372233
30.0	41.1102661133
35.0	40.9854553223
40.0	41.3888875326
45.0	41.6600016276
50.0	41.7624593099
55.0	41.4352315267
60.0	41.3657307943
65.0	41.9099405924
70.0	41.7038024902
75.0	42.0172200521
80.0	41.8225077311
85.0	41.7409016927
90.0	41.4249938965
95.0	41.522664388
100.0	41.3614156087
105.0	41.5235982259
110.0	41.5648213704
115.0	41.3514444987
120.0	41.8955423991
125.0	41.7152628581
130.0	41.7532674154
135.0	41.3999287923
140.0	41.6622680664
145.0	41.7397664388
150.0	41.6434204102
155.0	41.9415506999
160.0	41.7130004883
165.0	41.7062093099
170.0	42.0272786458
175.0	41.2893025716
180.0	41.8916687012
185.0	40.9393554688
190.0	41.1676371257
195.0	41.0240071615
200.0	41.2245117188
205.0	41.2404703776
210.0	41.2027791341
215.0	41.3684794108
220.0	41.5056091309
225.0	41.228314209
230.0	41.020707194
235.0	41.0440165202
240.0	41.3952209473
245.0	41.6130269368
250.0	41.3430786133
255.0	41.1383809408
260.0	41.2859700521
265.0	41.109950765
270.0	41.2682250977
275.0	41.0943603516
280.0	41.394523112
285.0	41.6659851074
290.0	41.6460367839
295.0	41.199037679
300.0	41.4615112305
305.0	41.6796040853
310.0	41.6128967285
315.0	41.7342020671
320.0	42.0406046549
325.0	42.2885233561
330.0	42.0575866699
335.0	42.1062093099
340.0	42.1514709473
345.0	42.2342305501
350.0	42.0805989583
355.0	42.2595174154
360.0	42.2952067057
365.0	42.0790262858
370.0	41.8266459147
375.0	42.0319458008
380.0	42.326550293
385.0	41.9182617188
390.0	42.2569112142
395.0	42.2554260254
400.0	42.2046468099
405.0	42.4885192871
410.0	42.0472310384
415.0	42.2519795736
420.0	42.0310770671
425.0	42.072446696
430.0	42.1984130859
435.0	42.3699320475
440.0	42.4202168783
445.0	42.4103210449
450.0	42.1578776042
455.0	42.01581014
460.0	42.3433308919
465.0	42.6290669759
470.0	42.465250651
475.0	42.0702941895
480.0	42.3455973307
485.0	41.75762736
490.0	42.0922119141
495.0	42.5622680664
500.0	42.5488016764
505.0	42.165218099
510.0	42.1871927897
515.0	42.3770222982
520.0	42.3338602702
525.0	42.448618571
530.0	42.2119730632
535.0	42.2087849935
540.0	42.3613586426
545.0	42.4315043132
550.0	42.3314493815
555.0	42.6866963704
560.0	42.5516520182
565.0	42.7063517253
570.0	42.2000264486
575.0	41.9485127767
580.0	41.7818725586
585.0	42.0729105632
590.0	41.9913594564
595.0	41.6796407064
600.0	42.117380778
605.0	41.9489562988
610.0	41.8353393555
615.0	42.2898071289
620.0	42.2045918783
625.0	42.3173543294
630.0	42.2004455566
635.0	42.020501709
640.0	42.339239502
645.0	42.3144002279
650.0	42.297857666
655.0	42.2473144531
660.0	42.4385396322
665.0	42.3969746908
670.0	42.4390930176
675.0	42.6365824382
680.0	42.5137125651
685.0	42.5600911458
690.0	42.0329793294
695.0	42.4699483236
700.0	43.0478637695
705.0	42.6695068359
710.0	43.0541625977
715.0	43.0683085124
720.0	43.0833679199
725.0	42.8901184082
730.0	43.1917744954
735.0	43.1569661458
740.0	43.0685872396
745.0	42.8318237305
750.0	42.9781229655
755.0	42.7649597168
760.0	42.9957845052
765.0	42.5572713216
770.0	42.8177347819
775.0	42.9435323079
780.0	43.1794677734
785.0	43.2299886068
790.0	42.8275472005
795.0	43.1913309733
800.0	43.4636962891
805.0	43.4201578776
810.0	43.7633402507
815.0	43.3514058431
820.0	43.2500244141
825.0	43.1635599772
830.0	43.4201049805
835.0	43.2654927572
840.0	43.2073588053
845.0	43.6380940755
850.0	43.9769185384
855.0	43.5449829102
860.0	43.02109375
865.0	43.2170593262
870.0	43.6137797038
875.0	43.1364034017
880.0	43.043371582
885.0	43.7050415039
890.0	43.2892801921
895.0	43.7402526855
900.0	43.8166931152
905.0	43.8401835124
910.0	43.9613932292
915.0	43.6719685872
920.0	43.7010620117
925.0	43.1193481445
930.0	43.2783854167
935.0	43.2504618327
940.0	43.2118123372
945.0	43.4996643066
950.0	43.4172932943
955.0	43.3040079753
960.0	43.6335611979
965.0	43.9045613607
970.0	43.5840535482
975.0	44.0745788574
980.0	43.9323649089
985.0	43.7918314616
990.0	43.0245727539
995.0	43.0310201009
1000.0	43.1632364909
1005.0	43.3940409342
1010.0	42.9997253418
1015.0	43.03046875
1020.0	42.7808451335
1025.0	42.8142313639
1030.0	43.0641235352
1035.0	43.1254760742
1040.0	43.040020752
1045.0	43.1054300944
1050.0	43.1321940104
1055.0	43.6884847005
1060.0	43.1636210124
1065.0	43.2322021484
1070.0	43.2110127767
1075.0	43.139276123
1080.0	43.3358418783
1085.0	43.3076639811
1090.0	43.1586263021
1095.0	43.1027018229
1100.0	43.4395589193
1105.0	43.2473266602
1110.0	43.106656901
1115.0	43.6818237305
1120.0	43.5797871908
1125.0	43.3322896322
1130.0	42.8849385579
1135.0	43.1219889323
1140.0	43.3426045736
1145.0	43.3730936686
1150.0	43.3924255371
1155.0	43.294342041
1160.0	43.370119222
1165.0	43.1475911458
1170.0	43.0466328939
1175.0	43.144337972
1180.0	43.0253641764
1185.0	42.980662028
1190.0	42.830094401
1195.0	42.7527893066
1200.0	43.1495727539
1205.0	43.1726989746
1210.0	43.3839070638
1215.0	43.4457743327
1220.0	42.9879821777
1225.0	42.7700398763
1230.0	43.1720825195
1235.0	43.2472351074
1240.0	43.4956115723
1245.0	43.0733520508
1250.0	43.4126302083
1255.0	42.9643330892
1260.0	43.3060160319
1265.0	43.4939758301
1270.0	43.2474019368
1275.0	43.2922688802
1280.0	43.271681722
1285.0	43.6009989421
1290.0	43.5176188151
1295.0	43.677360026
1300.0	43.3739786784
1305.0	43.1654886882
1310.0	42.8140604655
1315.0	43.0993570964
1320.0	43.2287719727
1325.0	43.0654825846
1330.0	43.2828226725
1335.0	43.6449951172
1340.0	43.0328328451
1345.0	42.8476765951
1350.0	42.8009379069
1355.0	42.6192545573
1360.0	42.7614379883
1365.0	42.6217712402
1370.0	42.2768391927
1375.0	42.6009765625
1380.0	42.8885599772
1385.0	42.5248331706
1390.0	42.5441813151
1395.0	42.997056071
1400.0	42.3739929199
1405.0	42.687093099
1410.0	42.6552856445
1415.0	42.9661783854
1420.0	42.977557373
1425.0	42.5320576986
1430.0	42.7572001139
1435.0	43.1838785807
1440.0	42.7556722005
1445.0	42.9413696289
1450.0	43.021468099
1455.0	42.9912740072
1460.0	43.0292989095
1465.0	42.8742411296
1470.0	42.5079630534
1475.0	42.8694335938
1480.0	43.1107625326
1485.0	43.3317708333
1490.0	43.2707824707
1495.0	42.7547241211
1500.0	43.2312174479
1505.0	43.179115804
1510.0	43.4731486003
1515.0	43.3147033691
1520.0	43.3945109049
1525.0	43.3752929688
1530.0	43.3288960775
1535.0	43.3173665365
1540.0	43.3734924316
1545.0	43.4484639486
1550.0	43.2055623372
1555.0	43.3585693359
1560.0	43.3075480143
1565.0	43.4189208984
1570.0	43.1258992513
1575.0	43.2924580892
1580.0	42.7032226562
1585.0	43.3788859049
1590.0	43.1686177572
1595.0	43.2066507975
1600.0	43.2595031738
1605.0	43.5476053874
1610.0	43.5152058919
1615.0	43.4179545085
1620.0	43.3249125163
1625.0	43.474991862
1630.0	43.5431091309
1635.0	43.3831522624
1640.0	43.340423584
1645.0	43.5453023275
1650.0	43.5808736165
1655.0	43.3654378255
1660.0	43.3572814941
1665.0	43.191402181
1670.0	42.9525146484
1675.0	43.0852762858
1680.0	43.0237243652
1685.0	42.8404602051
1690.0	42.8531758626
1695.0	42.6892171224
1700.0	42.9880737305
1705.0	42.7921895345
