# Min=-34.0, Max=34.0, Bin size = 1.0
# Bin ranges
#	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
# Range	Density
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	1.58458237383e-05
-28.0	0.000227000779818
-27.0	0.00060234867913
-26.0	0.00143177194354
-25.0	0.00307447549358
-24.0	0.00571855374729
-23.0	0.00960125195336
-22.0	0.0158331762593
-21.0	0.020220021631
-20.0	0.0190756202251
-19.0	0.0143982798958
-18.0	0.00897583171932
-17.0	0.0036279577801
-16.0	0.00119487782346
-15.0	0.00133304064772
-14.0	0.00290904960298
-13.0	0.00435590596854
-12.0	0.00519299645306
-11.0	0.00675703373476
-10.0	0.0102267243236
-9.0	0.0116657704757
-8.0	0.0099672480523
-7.0	0.00653762585955
-6.0	0.00300451194859
-5.0	0.000723448572841
-4.0	0.000194361435608
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	5.52366864326e-05
4.0	0.000318449660071
5.0	0.00100905350944
6.0	0.00227829829902
7.0	0.00366279515974
8.0	0.00754315702295
9.0	0.0104776479655
10.0	0.0107416970612
11.0	0.00772428574942
12.0	0.00645044828676
13.0	0.00494979780868
14.0	0.00364164238621
15.0	0.00215314056334
16.0	0.00156429177786
17.0	0.0011263075314
18.0	0.00269159278385
19.0	0.00700309211038
20.0	0.0119242167789
21.0	0.0168066840869
22.0	0.0198975374881
23.0	0.0158757698967
24.0	0.0120793718894
25.0	0.00815849866811
26.0	0.00482101327411
27.0	0.00256445863541
28.0	0.00107025573509
29.0	0.000244495478303
30.0	3.14945364684e-05
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
