# Min=-34.0, Max=34.0, Bin size = 1.0
# Bin ranges
#	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
# Range	Density
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	1.36569105334e-05
-21.0	0.000454427777599
-20.0	0.00182896882537
-19.0	0.00233570845355
-18.0	0.00478638668221
-17.0	0.0092091209792
-16.0	0.0126584692092
-15.0	0.0149502266075
-14.0	0.0148609754104
-13.0	0.0153239612456
-12.0	0.015709287085
-11.0	0.0167742716321
-10.0	0.0169857498043
-9.0	0.0169323301001
-8.0	0.0179969400337
-7.0	0.0190336485648
-6.0	0.0210011065309
-5.0	0.0223203765644
-4.0	0.0214321344663
-3.0	0.0219423670658
-2.0	0.0201680019233
-1.0	0.0190231305506
0.0	0.0173405699374
1.0	0.0173086034515
2.0	0.018338319744
3.0	0.020357591085
4.0	0.0218811382861
5.0	0.0229779363108
6.0	0.0209202981564
7.0	0.0199967820391
8.0	0.0186256112724
9.0	0.0184139780071
10.0	0.0168695231049
11.0	0.0163928132384
12.0	0.0166832587135
13.0	0.0173691659368
14.0	0.0157813015254
15.0	0.0147461667262
16.0	0.0138781433528
17.0	0.0123031993417
18.0	0.00984938283212
19.0	0.00622514494851
20.0	0.00350390184084
21.0	0.00144420718754
22.0	0.000351679894829
23.0	5.29642989332e-05
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
