# Min=-34.0, Max=34.0, Bin size = 1.0
# Bin ranges
#	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
# Range	Density
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	2.38646623708e-05
-28.0	0.000236313682991
-27.0	0.000641602318595
-26.0	0.0015679241
-25.0	0.00325935319994
-24.0	0.00591484019087
-23.0	0.0102178994902
-22.0	0.0162364036105
-21.0	0.0204736444919
-20.0	0.0185972340861
-19.0	0.0139000655536
-18.0	0.00845695038013
-17.0	0.00345559016729
-16.0	0.00109316994968
-15.0	0.00151051978775
-14.0	0.00299499445578
-13.0	0.0043259440492
-12.0	0.00525065508695
-11.0	0.00716694775073
-10.0	0.0104485612624
-9.0	0.0115172377479
-8.0	0.00987440548032
-7.0	0.00623339049746
-6.0	0.00270909905943
-5.0	0.00060988218928
-4.0	0.00014823757854
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	4.7176197501e-05
4.0	0.00035809396352
5.0	0.00113399584508
6.0	0.00221160469903
7.0	0.00390978816681
8.0	0.0080800321589
9.0	0.0105446264759
10.0	0.0105666933532
11.0	0.00757518488143
12.0	0.00647363627146
13.0	0.00475675333573
14.0	0.00350848609536
15.0	0.00192936189855
16.0	0.00161850381667
17.0	0.00103985782544
18.0	0.00294711461249
19.0	0.00731340624964
20.0	0.0123097596327
21.0	0.017526532441
22.0	0.0199060927856
23.0	0.0152632041059
24.0	0.0119503449755
25.0	0.00767529710681
26.0	0.00478479913509
27.0	0.00226297420473
28.0	0.000928044029816
29.0	0.000235347727404
30.0	8.01883863254e-06
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
