# Min=-34.0, Max=34.0, Bin size = 1.0
# Bin ranges
#	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0
# Range	Density
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	2.04853658001e-05
-21.0	0.00046516447037
-20.0	0.00195384668795
-19.0	0.00233198643248
-18.0	0.00503250129587
-17.0	0.00965724305593
-16.0	0.0125753336391
-15.0	0.0150918260771
-14.0	0.0150450905392
-13.0	0.0149998946319
-12.0	0.0159523199436
-11.0	0.0166435363511
-10.0	0.0167465268927
-9.0	0.0173433584981
-8.0	0.0180048479854
-7.0	0.019197902548
-6.0	0.0208822699559
-5.0	0.0222133640986
-4.0	0.0218694778441
-3.0	0.0216474911572
-2.0	0.0202117010947
-1.0	0.0191215551222
0.0	0.0172593077995
1.0	0.0171996215463
2.0	0.018153115039
3.0	0.020759323721
4.0	0.0219536194466
5.0	0.0228436652306
6.0	0.0212149763927
7.0	0.0195007295338
8.0	0.0188456225911
9.0	0.0183020353779
10.0	0.0167908535041
11.0	0.0163949185358
12.0	0.0164472011152
13.0	0.0175308033952
14.0	0.0156944651375
15.0	0.0146947061519
16.0	0.0138528922661
17.0	0.012122596395
18.0	0.00976323355416
19.0	0.00602190620556
20.0	0.0033116496429
21.0	0.00130601072063
22.0	0.000342649341652
23.0	3.93073891929e-05
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
