# Degree	Number_of_Sterols
0.0	0.0
0.5	0.000520833333333
1.0	0.0046875
1.5	0.00364583333333
2.0	0.003125
2.5	0.00729166666667
3.0	0.0135416666667
3.5	0.00885416666667
4.0	0.00885416666667
4.5	0.009375
5.0	0.0182291666667
5.5	0.0114583333333
6.0	0.0104166666667
6.5	0.015625
7.0	0.0229166666667
7.5	0.015625
8.0	0.0151041666667
8.5	0.025
9.0	0.0208333333333
9.5	0.0171875
10.0	0.0177083333333
10.5	0.015625
11.0	0.0161458333333
11.5	0.021875
12.0	0.0192708333333
12.5	0.0244791666667
13.0	0.0192708333333
13.5	0.0276041666667
14.0	0.01875
14.5	0.0203125
15.0	0.0213541666667
15.5	0.0182291666667
16.0	0.0192708333333
16.5	0.0223958333333
17.0	0.0197916666667
17.5	0.0177083333333
18.0	0.0208333333333
18.5	0.0119791666667
19.0	0.0145833333333
19.5	0.00989583333333
20.0	0.0197916666667
20.5	0.00989583333333
21.0	0.015625
21.5	0.0192708333333
22.0	0.0161458333333
22.5	0.0119791666667
23.0	0.00989583333333
23.5	0.0125
24.0	0.0171875
24.5	0.0130208333333
25.0	0.0166666666667
25.5	0.0145833333333
26.0	0.0203125
26.5	0.0078125
27.0	0.0130208333333
27.5	0.00989583333333
28.0	0.0109375
28.5	0.0104166666667
29.0	0.0151041666667
29.5	0.00885416666667
30.0	0.0078125
30.5	0.00989583333333
31.0	0.00520833333333
31.5	0.00625
32.0	0.00833333333333
32.5	0.00572916666667
33.0	0.00625
33.5	0.003125
34.0	0.00208333333333
34.5	0.00260416666667
35.0	0.00260416666667
35.5	0.00364583333333
36.0	0.00208333333333
36.5	0.00260416666667
37.0	0.00260416666667
37.5	0.00416666666667
38.0	0.00416666666667
38.5	0.0015625
39.0	0.00260416666667
39.5	0.00104166666667
40.0	0.00260416666667
40.5	0.0015625
41.0	0.0
41.5	0.0
42.0	0.000520833333333
42.5	0.00104166666667
43.0	0.0
43.5	0.0
44.0	0.00104166666667
44.5	0.000520833333333
45.0	0.0
45.5	0.0
46.0	0.00104166666667
46.5	0.00208333333333
47.0	0.0
47.5	0.003125
48.0	0.00208333333333
48.5	0.000520833333333
49.0	0.00416666666667
49.5	0.003125
50.0	0.0
50.5	0.00208333333333
51.0	0.00208333333333
51.5	0.003125
52.0	0.000520833333333
52.5	0.00104166666667
53.0	0.0
53.5	0.0
54.0	0.00104166666667
54.5	0.0
55.0	0.0
55.5	0.0
56.0	0.0
56.5	0.0
57.0	0.0
57.5	0.0
58.0	0.0
58.5	0.0
59.0	0.0
59.5	0.0
60.0	0.0
60.5	0.0
61.0	0.0
61.5	0.0
62.0	0.0
62.5	0.0
63.0	0.0
63.5	0.0
64.0	0.0
64.5	0.0
65.0	0.0
65.5	0.0
66.0	0.0
66.5	0.0
67.0	0.0
67.5	0.0
68.0	0.0
68.5	0.0
69.0	0.0
69.5	0.0
70.0	0.0
70.5	0.0
71.0	0.0
71.5	0.0
72.0	0.0
72.5	0.0
73.0	0.0
73.5	0.0
74.0	0.0
74.5	0.0
75.0	0.0
75.5	0.0
76.0	0.0
76.5	0.0
77.0	0.0
77.5	0.0
78.0	0.0
78.5	0.0
79.0	0.0
79.5	0.0
80.0	0.0
80.5	0.0
81.0	0.0
81.5	0.0
82.0	0.0
82.5	0.0
83.0	0.0
83.5	0.0
84.0	0.0
84.5	0.0
85.0	0.0
85.5	0.0
86.0	0.0
86.5	0.0
87.0	0.0
87.5	0.0
88.0	0.0
88.5	0.0
89.0	0.0
89.5	0.0
90.0	0.0
