# Degree	Number_of_Sterols
0.0	0.0
0.5	0.000431034482759
1.0	0.000431034482759
1.5	0.00258620689655
2.0	0.00474137931034
2.5	0.00344827586207
3.0	0.00862068965517
3.5	0.00775862068966
4.0	0.00646551724138
4.5	0.00775862068966
5.0	0.0112068965517
5.5	0.00948275862069
6.0	0.00862068965517
6.5	0.0129310344828
7.0	0.014224137931
7.5	0.010775862069
8.0	0.0159482758621
8.5	0.0185344827586
9.0	0.0193965517241
9.5	0.0146551724138
10.0	0.0181034482759
10.5	0.0211206896552
11.0	0.0193965517241
11.5	0.0163793103448
12.0	0.0228448275862
12.5	0.0228448275862
13.0	0.0262931034483
13.5	0.0280172413793
14.0	0.0241379310345
14.5	0.0198275862069
15.0	0.0280172413793
15.5	0.0310344827586
16.0	0.0275862068966
16.5	0.0284482758621
17.0	0.0202586206897
17.5	0.0293103448276
18.0	0.0215517241379
18.5	0.0262931034483
19.0	0.0198275862069
19.5	0.0206896551724
20.0	0.0258620689655
20.5	0.0163793103448
21.0	0.0185344827586
21.5	0.0224137931034
22.0	0.0193965517241
22.5	0.0176724137931
23.0	0.0116379310345
23.5	0.0103448275862
24.0	0.0133620689655
24.5	0.0129310344828
25.0	0.0112068965517
25.5	0.00646551724138
26.0	0.00862068965517
26.5	0.00991379310345
27.0	0.0163793103448
27.5	0.0103448275862
28.0	0.00818965517241
28.5	0.00301724137931
29.0	0.00775862068966
29.5	0.00818965517241
30.0	0.00689655172414
30.5	0.00862068965517
31.0	0.00344827586207
31.5	0.00560344827586
32.0	0.00818965517241
32.5	0.00129310344828
33.0	0.00431034482759
33.5	0.00431034482759
34.0	0.00344827586207
34.5	0.00948275862069
35.0	0.00258620689655
35.5	0.00387931034483
36.0	0.00344827586207
36.5	0.00344827586207
37.0	0.00258620689655
37.5	0.00215517241379
38.0	0.00258620689655
38.5	0.000862068965517
39.0	0.000862068965517
39.5	0.00172413793103
40.0	0.000862068965517
40.5	0.00129310344828
41.0	0.000862068965517
41.5	0.000862068965517
42.0	0.00172413793103
42.5	0.0
43.0	0.0
43.5	0.0
44.0	0.000862068965517
44.5	0.0
45.0	0.000862068965517
45.5	0.0
46.0	0.00172413793103
46.5	0.0
47.0	0.0
47.5	0.0
48.0	0.0
48.5	0.00172413793103
49.0	0.0
49.5	0.000862068965517
50.0	0.0
50.5	0.0
51.0	0.0
51.5	0.0
52.0	0.0
52.5	0.0
53.0	0.0
53.5	0.0
54.0	0.0
54.5	0.0
55.0	0.0
55.5	0.0
56.0	0.0
56.5	0.0
57.0	0.0
57.5	0.0
58.0	0.0
58.5	0.0
59.0	0.0
59.5	0.0
60.0	0.0
60.5	0.0
61.0	0.0
61.5	0.0
62.0	0.0
62.5	0.0
63.0	0.0
63.5	0.0
64.0	0.0
64.5	0.0
65.0	0.0
65.5	0.0
66.0	0.0
66.5	0.0
67.0	0.0
67.5	0.0
68.0	0.0
68.5	0.0
69.0	0.0
69.5	0.0
70.0	0.0
70.5	0.0
71.0	0.0
71.5	0.0
72.0	0.0
72.5	0.0
73.0	0.0
73.5	0.0
74.0	0.0
74.5	0.0
75.0	0.0
75.5	0.0
76.0	0.0
76.5	0.0
77.0	0.0
77.5	0.0
78.0	0.0
78.5	0.0
79.0	0.0
79.5	0.0
80.0	0.0
80.5	0.0
81.0	0.0
81.5	0.0
82.0	0.0
82.5	0.0
83.0	0.0
83.5	0.0
84.0	0.0
84.5	0.0
85.0	0.0
85.5	0.0
86.0	0.0
86.5	0.0
87.0	0.0
87.5	0.0
88.0	0.0
88.5	0.0
89.0	0.0
89.5	0.0
90.0	0.0
