# Time(ps)	Thickness
0.0	32.3132324219
5.0	32.2524562929
10.0	32.2051867974
15.0	32.3227256217
20.0	32.1503444765
25.0	32.2715751834
30.0	32.3996477825
35.0	32.5722447837
40.0	32.5260575457
45.0	32.5533596132
50.0	32.4957439143
55.0	32.4083251953
60.0	32.3265708365
65.0	32.1698176686
70.0	32.4375506145
75.0	32.3384652487
80.0	32.7652751643
85.0	32.5684993093
90.0	32.520567359
95.0	32.5748856707
100.0	32.6092782369
105.0	32.789287288
110.0	32.7300950958
115.0	32.6858073909
120.0	32.194624738
125.0	32.0085508765
130.0	32.1015744093
135.0	32.2097138196
140.0	32.2997912895
145.0	32.4953404869
150.0	32.4444446099
155.0	32.290561583
160.0	32.4678166087
165.0	32.1446101491
170.0	32.0531631098
175.0	32.2289473371
180.0	32.1944669398
185.0	32.0759188024
190.0	31.9497353158
195.0	32.070642983
200.0	32.0609160633
205.0	32.1610047875
210.0	32.0973912681
215.0	31.6890169469
220.0	31.8395162443
225.0	31.729776522
230.0	31.6325490068
235.0	31.3803279225
240.0	31.4411933713
245.0	31.3692358994
250.0	31.2053743688
255.0	31.3828526939
260.0	31.6923307093
265.0	31.6773041516
270.0	31.3277200838
275.0	31.4420716821
280.0	31.3751607755
285.0	31.5633142983
290.0	31.4198221346
295.0	31.3920853778
300.0	31.4908759885
305.0	31.536178961
310.0	31.4413556355
315.0	31.7506669207
320.0	31.7623841821
325.0	31.5874157417
330.0	31.7659807903
335.0	31.8092800233
340.0	31.3339024986
345.0	31.6505558665
350.0	31.3628659132
355.0	31.6674387862
360.0	31.5056718035
365.0	31.1402022199
370.0	31.4130576529
375.0	31.2915321908
380.0	31.1629355826
385.0	31.3719169803
390.0	31.3137817383
395.0	31.269169505
400.0	31.1669117997
405.0	31.3237200481
410.0	31.3545859732
415.0	31.0360315835
420.0	31.2130275819
425.0	31.2636793183
430.0	31.334099002
435.0	31.4419451458
440.0	31.3435088367
445.0	30.9537011123
450.0	31.2819913538
455.0	31.2333240044
460.0	31.0983559213
465.0	31.3464310809
470.0	31.1943731541
475.0	31.1384351777
480.0	31.389130383
485.0	31.2665360614
490.0	31.0940343345
495.0	31.3283021508
500.0	31.1276855469
505.0	31.2644817073
510.0	31.1735869617
515.0	31.0404037848
520.0	31.121221775
525.0	31.1255880216
530.0	31.1992425686
535.0	30.882592178
540.0	31.1626839987
545.0	31.3071571908
550.0	31.6662657203
555.0	31.424643912
560.0	31.2736235828
565.0	31.1996236662
570.0	30.9298482755
575.0	31.1672169755
580.0	30.9850106588
585.0	31.1101967416
590.0	31.1798393436
595.0	30.9311225705
600.0	30.9392342916
605.0	31.1592109494
610.0	30.5312916825
615.0	30.7038276486
620.0	30.9065536871
625.0	30.9209520293
630.0	30.8134572099
635.0	30.8134110614
640.0	31.1130058475
645.0	31.0133488353
650.0	30.9908357946
655.0	30.9154573766
660.0	30.6512227873
665.0	30.7760858303
670.0	30.6458412729
675.0	30.6070675734
680.0	30.6315456483
685.0	30.8623031988
690.0	30.7013639124
695.0	30.7679875071
700.0	30.7743113448
705.0	30.8391485447
710.0	30.7399202672
715.0	31.2668055092
720.0	31.0917611471
725.0	30.9244250786
730.0	31.0524500405
735.0	30.9976270722
740.0	31.0925933094
745.0	31.3053410228
750.0	31.3115636314
755.0	31.2892083889
760.0	31.4454211724
765.0	31.1934903773
770.0	31.2825436476
775.0	30.8999871975
780.0	31.2418123571
785.0	31.1891509265
790.0	30.9194827196
795.0	30.9259524462
800.0	31.1372650891
805.0	30.9607916111
810.0	30.9609211247
815.0	31.1270171375
820.0	31.3392676377
825.0	31.1083061404
830.0	31.4517211914
835.0	31.5588438453
840.0	31.3870700743
845.0	30.9833150724
850.0	31.4202985066
855.0	31.3236143531
860.0	31.0621218798
865.0	30.8291000738
870.0	30.9659587581
875.0	31.3742646008
880.0	31.1481442335
885.0	31.242540313
890.0	31.4419406798
895.0	30.9810076458
900.0	31.1548223728
905.0	31.1590933451
910.0	30.7545642388
915.0	31.101218619
920.0	31.4254626763
925.0	31.2196744593
930.0	30.846381955
935.0	30.8220110637
940.0	31.1258530035
945.0	31.1779070598
950.0	31.2786537729
955.0	31.1198164777
960.0	31.0580995141
965.0	31.0685618331
970.0	31.3514121451
975.0	31.2637969226
980.0	31.3316054926
985.0	31.3257803568
990.0	31.0206090415
995.0	30.8164479325
1000.0	31.2727154988
1005.0	31.0992922899
1010.0	30.9627447361
1015.0	30.6715698242
1020.0	30.4782625524
1025.0	30.6780216868
1030.0	30.7305104325
1035.0	30.9668206936
1040.0	30.7908667588
1045.0	30.7539717511
1050.0	30.8161338248
1055.0	30.5499014506
1060.0	30.5260858303
1065.0	30.4981242854
1070.0	30.7384226729
1075.0	30.4326365401
1080.0	30.2863695098
1085.0	30.1705307379
1090.0	30.9460687405
1095.0	30.8694487781
1100.0	30.7420029059
1105.0	30.662686976
1110.0	30.7361286442
1115.0	30.5937306474
1120.0	30.6953333413
1125.0	30.5459937119
1130.0	31.1164029749
1135.0	31.4650983113
1140.0	31.0825433498
1145.0	31.2143510028
1150.0	31.1198656036
1155.0	31.2413776677
1160.0	31.1063098442
1165.0	30.9364460271
1170.0	30.7846605254
1175.0	30.7943427853
1180.0	30.7875515077
1185.0	30.6088584342
1190.0	30.7960740997
1195.0	30.8189875905
1200.0	30.8644200767
1205.0	30.6389830054
1210.0	31.1518286728
1215.0	31.1158566359
1220.0	31.2058060809
1225.0	31.1748002215
1230.0	31.5183284108
1235.0	31.0985613567
1240.0	31.1670874619
1245.0	30.7326809022
1250.0	31.0508378192
1255.0	31.1835252715
1260.0	30.9880743259
1265.0	30.7325647866
1270.0	30.8661975395
1275.0	31.0248055807
1280.0	31.1781407798
1285.0	30.8614159561
1290.0	30.4265374905
1295.0	30.4665854849
1300.0	30.7267083889
1305.0	30.8736765792
1310.0	31.1348460128
1315.0	31.0171508789
1320.0	30.9898339248
1325.0	31.2107365306
1330.0	31.1998424995
1335.0	31.2644564001
1340.0	30.9393131907
1345.0	31.4444371665
1350.0	31.2952270508
1355.0	31.4707626715
1360.0	31.1493649366
1365.0	31.3836372189
1370.0	31.646034799
1375.0	31.4199992854
1380.0	31.3297908132
1385.0	31.5247341249
1390.0	31.1158506812
1395.0	31.2910930354
1400.0	31.4419912943
1405.0	31.2627027558
1410.0	31.0768000905
1415.0	31.0860893436
1420.0	31.4001926329
1425.0	31.2481555474
1430.0	30.9292989591
1435.0	31.2402805235
1440.0	31.0442981255
1445.0	31.0557950648
1450.0	31.3334365473
1455.0	31.0662305878
1460.0	31.1525283441
1465.0	31.3839989639
1470.0	31.2330783751
1475.0	31.327318145
1480.0	31.3807209294
1485.0	31.208406774
1490.0	31.0040893555
1495.0	31.254236733
1500.0	31.1994777772
1505.0	31.28330882
1510.0	31.3655425281
1515.0	31.0739433475
1520.0	30.8438884456
1525.0	30.8626083746
1530.0	30.7960934523
1535.0	30.8948542897
1540.0	30.4970837105
1545.0	30.7647332913
1550.0	30.8521817835
1555.0	31.3008020913
1560.0	30.8747737233
1565.0	30.855349657
1570.0	31.155787026
1575.0	30.8635075267
1580.0	30.8457596942
1585.0	31.1074724895
1590.0	30.9885253906
1595.0	30.7769343679
1600.0	30.6224305688
1605.0	30.8658402606
1610.0	30.4144093583
1615.0	30.9247808689
1620.0	31.052143376
1625.0	31.2792432832
1630.0	31.1335077053
1635.0	31.0200165539
1640.0	31.0965457079
1645.0	31.153150605
1650.0	31.3000830674
1655.0	31.3965707174
1660.0	32.0604575553
1665.0	31.9924435499
1670.0	31.8917027915
1675.0	31.6733993902
1680.0	31.5033896842
1685.0	31.1520802568
1690.0	31.1171413515
1695.0	31.3854652963
1700.0	31.0712548233
1705.0	31.5856114829
1710.0	31.3287145103
1715.0	31.707017852
1720.0	31.6077076982
1725.0	31.3810662991
1730.0	31.5379132527
1735.0	31.4931104707
1740.0	31.3882490949
1745.0	31.6178529321
1750.0	31.4247213224
1755.0	31.5413937452
1760.0	31.8051713153
1765.0	31.6852952911
1770.0	31.8548330912
1775.0	31.6211235232
