# Time(ps)	Thickness
0.0	38.659116745
5.0	38.818069458
10.0	38.9061813354
15.0	38.5522480011
20.0	38.6256275177
25.0	37.9224624634
30.0	39.0819320679
35.0	39.0032100677
40.0	38.5688247681
45.0	38.6744022369
50.0	38.9281921387
55.0	38.3457946777
60.0	37.8371982574
65.0	37.7922000885
70.0	38.7512149811
75.0	38.534734726
80.0	38.9965667725
85.0	39.1222915649
90.0	39.1620254517
95.0	38.8456935883
100.0	38.4210681915
105.0	39.1950836182
110.0	39.2574062347
115.0	38.9105682373
120.0	39.0691299438
125.0	39.1154327393
130.0	39.206735611
135.0	38.0649166107
140.0	38.3739814758
145.0	39.0041656494
150.0	38.9142036438
155.0	39.4513206482
160.0	39.4924468994
165.0	39.2220916748
170.0	39.2308368683
175.0	39.4345836639
180.0	39.3547515869
185.0	39.7953586578
190.0	39.4323177338
195.0	39.7064113617
200.0	39.3859767914
205.0	39.9859352112
210.0	39.9606323242
215.0	39.7831802368
220.0	39.9859199524
225.0	39.4115829468
230.0	40.0934886932
235.0	39.6921215057
240.0	39.4728622437
245.0	38.9939880371
250.0	38.7119903564
255.0	39.1997928619
260.0	38.7359313965
265.0	38.3679122925
270.0	37.9560165405
275.0	38.7630443573
280.0	39.1261901855
285.0	39.419593811
290.0	38.955619812
295.0	38.7209472656
300.0	38.8423500061
305.0	38.7601261139
310.0	38.5201854706
315.0	39.0443325043
320.0	39.4930553436
325.0	39.4180850983
330.0	39.3672409058
335.0	39.3086891174
340.0	38.9847812653
345.0	39.3940296173
350.0	38.5610656738
355.0	38.4247932434
360.0	38.1501312256
365.0	37.7904529572
370.0	37.9182910919
375.0	37.5365505219
380.0	37.1446266174
385.0	37.6347808838
390.0	37.8086776733
395.0	37.6951522827
400.0	38.5058784485
405.0	37.9912815094
410.0	38.1500053406
415.0	37.6532344818
420.0	37.6281738281
425.0	37.9408454895
430.0	37.7876796722
435.0	37.485616684
440.0	36.934261322
445.0	36.2075748444
450.0	37.0303287506
455.0	37.1387462616
460.0	37.5923213959
465.0	37.5695915222
470.0	37.3630237579
475.0	37.5906963348
480.0	37.777677536
485.0	37.2841720581
490.0	37.2525062561
495.0	38.2405261993
500.0	37.7728157043
505.0	37.6050701141
510.0	38.3615779877
515.0	37.7027664185
520.0	37.8535404205
525.0	37.5827636719
530.0	37.9416351318
535.0	37.2295150757
540.0	37.5357685089
545.0	37.8559246063
550.0	37.9457626343
555.0	37.2993621826
560.0	37.3923377991
565.0	37.5510902405
570.0	37.3237838745
575.0	37.7215919495
580.0	37.2046813965
585.0	36.6506881714
590.0	37.2022819519
595.0	37.3042507172
