# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	92.9236526489	92.9236526489	82.4265289307	90.0	90.0	90.0	711737.02241
2.0	92.8930587769	92.8930587769	82.5655441284	90.0	90.0	90.0	712468.01861
4.0	92.8498306274	92.8498306274	82.5796890259	90.0	90.0	90.0	711927.01777
6.0	92.760269165	92.760269165	82.4446258545	90.0	90.0	90.0	709392.106647
8.0	92.6765594482	92.6765594482	82.4451065063	90.0	90.0	90.0	708116.458191
10.0	92.7565460205	92.7565460205	82.4960632324	90.0	90.0	90.0	709777.717377
12.0	92.7928085327	92.7928085327	82.3501281738	90.0	90.0	90.0	709076.216364
14.0	92.8409194946	92.8409194946	82.3957901001	90.0	90.0	90.0	710205.266843
16.0	92.8845214844	92.8845214844	82.332611084	90.0	90.0	90.0	710327.428719
18.0	92.8547515869	92.8547515869	82.3701858521	90.0	90.0	90.0	710196.145393
20.0	92.8213806152	92.8213806152	82.6158981323	90.0	90.0	90.0	711802.77383
22.0	92.8144073486	92.8144073486	82.6267547607	90.0	90.0	90.0	711789.353135
24.0	92.7175140381	92.7175140381	82.65574646	90.0	90.0	90.0	710553.216545
26.0	92.8074569702	92.8074569702	82.6108856201	90.0	90.0	90.0	711546.068408
28.0	92.6398086548	92.6398086548	82.6082687378	90.0	90.0	90.0	708955.244008
30.0	92.7110748291	92.7110748291	82.7294921875	90.0	90.0	90.0	711088.394326
32.0	92.7672042847	92.7672042847	82.6387939453	90.0	90.0	90.0	711169.147317
34.0	92.6309051514	92.6309051514	82.5610046387	90.0	90.0	90.0	708413.427968
36.0	92.7201385498	92.7201385498	82.633140564	90.0	90.0	90.0	710399.100283
38.0	92.6753768921	92.6753768921	82.6244049072	90.0	90.0	90.0	709638.331869
40.0	92.6933746338	92.6933746338	82.6657562256	90.0	90.0	90.0	710269.27805
42.0	92.7680969238	92.7680969238	82.7431030273	90.0	90.0	90.0	712080.509225
44.0	92.7765731812	92.7765731812	82.9155273438	90.0	90.0	90.0	713694.782335
46.0	92.7453155518	92.7453155518	82.9843292236	90.0	90.0	90.0	713805.769998
48.0	92.6895904541	92.6895904541	82.869468689	90.0	90.0	90.0	711961.453312
50.0	92.6942749023	92.6942749023	82.8874282837	90.0	90.0	90.0	712187.731852
52.0	92.5294036865	92.5294036865	82.9776763916	90.0	90.0	90.0	710429.187539
54.0	92.5228042603	92.5228042603	83.1467132568	90.0	90.0	90.0	711774.886911
56.0	92.6384963989	92.6384963989	83.1822967529	90.0	90.0	90.0	713861.405116
58.0	92.5774612427	92.5774612427	83.1056289673	90.0	90.0	90.0	712263.967585
60.0	92.5106124878	92.5106124878	83.1681060791	90.0	90.0	90.0	711770.401801
62.0	92.5016098022	92.5016098022	83.0955886841	90.0	90.0	90.0	711011.377875
64.0	92.4731369019	92.4731369019	83.1863327026	90.0	90.0	90.0	711349.710332
66.0	92.6441421509	92.6441421509	83.2540893555	90.0	90.0	90.0	714564.610164
68.0	92.6578140259	92.6578140259	83.2293014526	90.0	90.0	90.0	714562.712362
70.0	92.717628479	92.717628479	83.23021698	90.0	90.0	90.0	715493.44012
72.0	92.7298355103	92.7298355103	83.1658325195	90.0	90.0	90.0	715128.223065
74.0	92.7299728394	92.7299728394	83.0780715942	90.0	90.0	90.0	714375.698373
76.0	92.7504501343	92.7504501343	83.0746307373	90.0	90.0	90.0	714661.639823
78.0	92.6315155029	92.6315155029	83.106010437	90.0	90.0	90.0	713099.239051
80.0	92.748260498	92.748260498	83.0235900879	90.0	90.0	90.0	714188.833103
82.0	92.772354126	92.772354126	83.0672302246	90.0	90.0	90.0	714935.535302
84.0	92.7495651245	92.7495651245	83.1082458496	90.0	90.0	90.0	714937.17491
86.0	92.7125778198	92.7125778198	83.1058425903	90.0	90.0	90.0	714346.416045
88.0	92.603843689	92.603843689	83.3330841064	90.0	90.0	90.0	714620.518259
90.0	92.7180252075	92.7180252075	83.336151123	90.0	90.0	90.0	716410.240034
92.0	92.642906189	92.642906189	83.200050354	90.0	90.0	90.0	714081.74336
94.0	92.6582489014	92.6582489014	83.2915267944	90.0	90.0	90.0	715103.658613
96.0	92.738861084	92.738861084	83.2809753418	90.0	90.0	90.0	716257.724881
98.0	92.6792984009	92.6792984009	83.3715667725	90.0	90.0	90.0	716116.10031
100.0	92.5954208374	92.5954208374	83.4719238281	90.0	90.0	90.0	715680.926039
102.0	92.5978469849	92.5978469849	83.3352584839	90.0	90.0	90.0	714546.612456
104.0	92.553604126	92.553604126	83.2199325562	90.0	90.0	90.0	712876.059431
106.0	92.5476608276	92.5476608276	83.3428497314	90.0	90.0	90.0	713837.302334
108.0	92.5574417114	92.5574417114	83.2698669434	90.0	90.0	90.0	713362.959066
110.0	92.5809860229	92.5809860229	83.3745880127	90.0	90.0	90.0	714623.518131
112.0	92.5757751465	92.5757751465	83.5045623779	90.0	90.0	90.0	715656.991851
114.0	92.6164627075	92.6164627075	83.6741943359	90.0	90.0	90.0	717741.271003
116.0	92.5616989136	92.5616989136	83.676109314	90.0	90.0	90.0	716909.132984
118.0	92.568649292	92.568649292	83.7070007324	90.0	90.0	90.0	717281.508377
