# Min=-52.0, Max=52.0, Bin size = 1.0
# Bin ranges
#	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0
# Range	Density
-52.0	0.0406023013732
-51.0	0.00424971503263
-50.0	0.00419887604673
-49.0	0.00420542389203
-48.0	0.00377884709238
-47.0	0.00346541727225
-46.0	0.00331585171798
-45.0	0.00261367368032
-44.0	0.00211564359523
-43.0	0.00159673053076
-42.0	0.00127168437876
-41.0	0.00076683287526
-40.0	0.000476668542402
-39.0	0.000222164962907
-38.0	0.000147847973931
-37.0	4.71899744884e-05
-36.0	1.30112506658e-05
-35.0	1.33980671064e-05
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.0
-21.0	0.0
-20.0	0.0
-19.0	0.0
-18.0	4.28050927827e-05
-17.0	0.000115717867297
-16.0	0.000343262224379
-15.0	0.000910712182262
-14.0	0.00181426909183
-13.0	0.00374192950265
-12.0	0.00551153667772
-11.0	0.00799715978331
-10.0	0.0104462604331
-9.0	0.0125554246268
-8.0	0.0134679645537
-7.0	0.0145812748812
-6.0	0.0154010188334
-5.0	0.0162808242851
-4.0	0.0160952816829
-3.0	0.0164777222245
-2.0	0.0172920308797
-1.0	0.0175927302323
0.0	0.0188943092191
1.0	0.0200900710103
2.0	0.0208626096378
3.0	0.0207274664383
4.0	0.0204699344212
5.0	0.0191215497311
6.0	0.0183136152085
7.0	0.0177577760219
8.0	0.0171294021021
9.0	0.0178454680783
10.0	0.0185176980832
11.0	0.0181736696747
12.0	0.0180690913459
13.0	0.0181527973875
14.0	0.0175074084668
15.0	0.0165252884925
16.0	0.0153198589588
17.0	0.0143950438445
18.0	0.0139108227179
19.0	0.0125376838728
20.0	0.0125850763315
21.0	0.0118261223803
22.0	0.0116455391052
23.0	0.0110686888582
24.0	0.0102038931171
25.0	0.00867070145095
26.0	0.00727217550907
27.0	0.00517054246228
28.0	0.00389222486028
29.0	0.00212715084925
30.0	0.00139054600154
31.0	0.000771895958585
32.0	0.000347830953304
33.0	3.36335312149e-05
34.0	6.71644840505e-06
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
