# Min=-52.0, Max=52.0, Bin size = 1.0
# Bin ranges
#	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0
# Range	Density
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.000170188201237
-21.0	0.000392429590286
-20.0	0.00142281109573
-19.0	0.00378176620764
-18.0	0.00766587388532
-17.0	0.0115656219605
-16.0	0.0153469498905
-15.0	0.0169895360813
-14.0	0.017468273735
-13.0	0.0191458825151
-12.0	0.0209399543882
-11.0	0.0234561847782
-10.0	0.0254197153333
-9.0	0.0288212442658
-8.0	0.0305667676191
-7.0	0.0322613283448
-6.0	0.0315178907951
-5.0	0.0320128971019
-4.0	0.0327814436557
-3.0	0.0324023027201
-2.0	0.0330144006537
-1.0	0.0331878204164
0.0	0.0335626266728
1.0	0.0329320501881
2.0	0.0326561470285
3.0	0.0321326447023
4.0	0.0340298879917
5.0	0.0322396757123
6.0	0.0334762374281
7.0	0.0319731102434
8.0	0.0324678628113
9.0	0.0315886425106
10.0	0.029428202933
11.0	0.027068855365
12.0	0.0243670081139
13.0	0.0202515718462
14.0	0.0189757496258
15.0	0.0168940290788
16.0	0.0167877942665
17.0	0.0141424721101
18.0	0.0120528752257
19.0	0.00714998930934
20.0	0.00346277937521
21.0	0.00105095383492
22.0	0.000531185685501
23.0	0.000127808671532
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
