# Min=-52.0, Max=52.0, Bin size = 1.0
# Bin ranges
#	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0
# Range	Density
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	-0.000143561052983
-21.0	-0.000341219925681
-20.0	-0.00117966266328
-19.0	-0.00295814192474
-18.0	-0.00603708086908
-17.0	-0.00849102544433
-16.0	-0.0108856280284
-15.0	-0.0116503627646
-14.0	-0.0115582190662
-13.0	-0.0120859783669
-12.0	-0.012653592018
-11.0	-0.0136534036314
-10.0	-0.0138578166678
-9.0	-0.0146720451189
-8.0	-0.0145675842948
-7.0	-0.0140194438401
-6.0	-0.0122356933597
-5.0	-0.0109408294633
-4.0	-0.00945579355364
-3.0	-0.00751250641705
-2.0	-0.00573219160232
-1.0	-0.00344884890465
0.0	-0.00120728644078
1.0	0.00121188273129
2.0	0.00345801114232
3.0	0.00551562754955
4.0	0.00785619399745
5.0	0.00926847885224
6.0	0.0114192599758
7.0	0.012487193255
8.0	0.0139529669873
9.0	0.014948133004
10.0	0.0151838816896
11.0	0.0149437444184
12.0	0.0143916660509
13.0	0.0125037818991
14.0	0.0121934243164
15.0	0.0111421062827
16.0	0.011493390815
17.0	0.00990842120434
18.0	0.00882075405527
19.0	0.00548399297252
20.0	0.00273799379379
21.0	0.000812099863469
22.0	0.000386817593764
23.0	9.32258014166e-05
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
