# Min=-52.0, Max=52.0, Bin size = 1.0
# Bin ranges
#	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0
# Range	Density
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	-0.0010783051039
-28.0	-0.0159967833213
-27.0	-0.045027352279
-26.0	-0.0782268201032
-25.0	-0.0976794640759
-24.0	-0.0417756748268
-23.0	-0.0274969007246
-22.0	-0.00287769902133
-21.0	0.0
-20.0	0.0
-19.0	0.0
-18.0	0.0
-17.0	0.0
-16.0	0.0
-15.0	0.0
-14.0	0.0
-13.0	0.0
-12.0	0.0
-11.0	0.0
-10.0	0.0
-9.0	0.0
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	-0.000539190831273
-3.0	-0.00229155099616
-2.0	-0.0061368490558
-1.0	-0.0121850549409
0.0	-0.00681194805561
1.0	0.0126979220679
2.0	0.0298264180648
3.0	0.042534357517
4.0	0.0180116195339
5.0	0.0042709318333
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0086758384421
42.0	0.0276203718023
43.0	0.125295644697
44.0	0.221273933181
45.0	0.269118362402
46.0	0.22832818379
47.0	0.112563640844
48.0	0.0326844406866
49.0	0.00121353308979
50.0	0.0
51.0	0.0
52.0	0.0
