# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	31.3405025272	55.5771526352	54.4280533136	56.1768468893	59.0005698812
5.0	30.4055437313	57.0684373597	55.2026629227	53.1133452959	58.9883739904
10.0	29.9457473657	56.333196465	56.5968384519	54.0384926723	59.2959480742
15.0	30.1423253072	57.942165539	54.7444207728	55.9425975366	58.770609897
20.0	30.1858761733	56.5342130529	57.3106809996	55.2710089155	57.8491298059
25.0	30.0509714569	57.1583775612	56.3815060992	58.071503835	58.0507825359
30.0	29.1722811729	56.9193176736	56.554238134	57.0462878837	59.9943543605
35.0	29.8026587927	56.9721491427	57.5120274806	56.4257428951	57.8807897655
40.0	29.4502566908	57.1591801366	57.0166301562	57.0206604389	58.7849117032
45.0	30.4234435154	56.9982691739	56.7397037088	51.7393434213	57.7767945715
50.0	30.3282035842	56.3741578511	55.5066788603	55.572969715	59.3178900167
55.0	30.5774207563	54.9724248119	56.5888811872	57.8239577137	59.0220739369
60.0	30.4146607376	55.2790187401	55.721280755	56.7478079061	59.929486588
65.0	30.1800264149	56.5326173424	55.0505632836	56.7488305839	59.7486450405
70.0	29.9543904322	56.8265471646	55.3685064896	60.0375153436	59.2909907475
75.0	30.4256754384	56.0782495531	55.7916405106	61.4482247452	58.5748073999
80.0	31.142209141	54.8579261165	55.6525187259	57.1531502615	58.9167675078
85.0	30.5036752928	54.7455145917	56.4366867588	60.9712527169	59.2186080348
90.0	30.7482307536	55.9476490673	55.3985188875	59.2395750051	58.6348960467
95.0	31.1083462653	55.1358413492	55.3319848335	60.0793613485	58.7024100305
100.0	30.6158273709	56.0348716364	55.2542792769	64.4018056149	58.4261196462
105.0	29.6856283302	55.4035713482	56.6811909084	67.3376682822	59.3400209489
110.0	29.9197978728	56.2985844074	56.2934755843	56.9624856251	59.3631145053
115.0	30.5362772081	55.3378547766	56.0302171926	59.1753653871	59.1065684191
120.0	30.2630783666	55.3820833352	57.3541143941	59.1091371446	58.4239009113
125.0	30.2870779918	55.701902279	56.3063461601	58.6033387235	59.0496633763
130.0	30.0078443538	56.0243727294	56.6791081907	58.9410241409	58.9163237956
135.0	30.5989515751	55.4330889515	55.770744843	57.2818553423	59.3088248765
140.0	29.7078324025	56.4679029569	55.1570481184	56.2653331355	60.7101448097
145.0	30.3694319576	56.0687336335	55.3935543961	60.3009792399	59.1698257052
150.0	30.9002962964	56.7466681184	53.9020486445	60.0277463789	58.7998081292
155.0	29.9393093333	57.6054755111	55.3433259119	61.150319434	58.4535589134
160.0	30.2025045102	55.8595652229	55.6418240997	62.5539786593	59.264094415
165.0	31.2977333184	56.312945836	54.3070443744	55.9171045773	58.485246671
170.0	30.6739824904	58.1460648261	54.4064500691	54.0925480668	57.9925586669
175.0	30.6389672	57.2396953152	55.8597039723	55.9992412708	57.4704515036
180.0	29.7246942165	58.901521379	55.017473242	56.9880839421	58.2963281997
185.0	30.4322300309	57.0443338809	54.5247391893	58.8716889117	58.9934961107
190.0	30.3332757187	56.903342825	54.6427462733	61.751264704	58.9382193678
195.0	30.8882112177	57.5503548664	55.0082121175	58.3443811986	57.1931858763
