# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	29.4579663395	58.7943787359	52.4041036102	66.2785513473	60.8153977352
5.0	29.1112058701	59.5783880965	53.0259480882	65.4588543872	60.2472732703
10.0	29.112589064	59.189210704	53.996015584	68.503070257	59.4561172147
15.0	28.8886190176	60.0020054557	53.9841595336	68.8313170397	59.0691546873
20.0	28.92217688	59.5392996754	54.1115967809	66.8433379672	59.5488522613
25.0	28.8473236219	59.2731358486	54.3304394118	66.4299717654	59.8089335776
30.0	28.7253324143	58.9891614983	53.6319208222	62.1916166269	61.38957155
35.0	28.3041500962	58.5974648575	54.7734645963	63.5229748407	61.4630777419
40.0	29.2584408505	58.4087407289	54.4258056407	61.3298955804	60.2753972653
45.0	29.4144701331	59.4589897596	54.1443253703	61.1762148888	59.1817780518
50.0	29.5788281746	58.976344549	54.220701429	57.4477298475	59.6398772633
55.0	29.3458223839	59.7191560985	54.8564446895	59.5317916514	58.5825022939
60.0	29.8757438107	58.6472360114	54.2305857593	59.9863295216	59.1123557432
65.0	30.0565210138	57.5776878615	53.1673938881	60.2822828092	60.7476008003
70.0	30.0936169677	57.4336398561	53.1825113731	60.8919783415	60.7430137233
75.0	30.1716304515	56.3097376191	53.091430927	61.6421105266	61.7177543106
80.0	29.880345214	58.4354802041	53.7566820309	59.9882284902	59.7412593246
85.0	30.1689396736	56.5512706075	54.6916246218	61.7351738091	60.0321476559
90.0	29.8520294581	56.8963793187	53.9459826137	61.6673392538	60.9987125952
95.0	30.0055845567	56.0473273602	55.4843532815	63.7191965653	59.9509394733
100.0	29.2347106152	57.3509993987	55.2263493996	70.8162281739	59.7114727276
105.0	29.4610807175	57.1039153974	55.4787301581	62.4511995282	60.1151973645
110.0	29.9766318618	54.9597900053	55.6963530021	63.518175687	60.9256709397
115.0	29.6778424377	55.6065463223	56.9714957817	61.3725931219	59.9434088776
120.0	30.3303063668	53.542585689	56.5644888137	64.943264943	60.7117508755
125.0	29.9293518886	55.8580669248	54.259187453	63.0938898482	61.4578535386
130.0	30.6749870422	55.2487866729	54.8415429074	64.9010709236	59.8710645894
135.0	30.3682170044	54.8912608916	54.6772981617	62.1259352916	61.2674382368
140.0	30.1704558751	56.3170714532	54.6826570194	64.4073003886	60.0042021143
145.0	30.3277329107	55.8018920012	55.2293962799	60.3224867564	60.1211729061
150.0	29.8033349157	55.8912289145	55.8376896103	65.9838970731	59.9670780438
155.0	30.4472722681	56.009573892	55.7043274083	60.983951633	59.1808423029
160.0	30.0300577905	57.1634591408	53.7576214636	60.572884223	60.6545309767
165.0	30.2429868548	57.0607067819	53.0254046547	58.7485410667	61.1728107306
170.0	30.4903647413	57.051745989	53.4950185451	60.2535271436	60.1138622329
175.0	29.4017937714	58.3127893748	54.6030537681	57.7882621562	60.2793316284
180.0	29.265701671	59.0621112767	53.6561976013	61.6660762134	60.2665985412
185.0	30.0547931995	57.5056652942	55.1706169192	54.9375845156	59.5547005303
190.0	31.2125223541	56.0217530681	55.1282374937	55.9362861268	58.6613789022
195.0	30.7517114844	57.2392723224	53.9391633207	57.6764766914	59.2617236028
