# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	31.8032430378	56.3874564727	56.3724190404	43.3899472769	56.7936462774
5.0	31.7741180558	56.1335295549	56.9428625322	44.49030535	56.4823602656
10.0	30.6513810319	55.5910980161	56.9309418267	45.3351657976	59.1964747118
15.0	31.6660557443	56.4732039236	57.2997218794	47.5629659026	55.7303825271
20.0	31.4069272754	56.9352058604	56.8071021234	48.8910413354	56.0971694185
25.0	31.5864888511	54.6727102936	57.8159645857	47.973191503	57.1842816134
30.0	31.2640868306	56.2316323724	57.9096189698	50.3797401384	55.9452473217
35.0	31.5113423955	56.8826512807	56.2880633351	48.0493347449	56.4920727852
40.0	31.2915169448	57.5712924363	55.7482603309	40.7020681027	57.4636999826
45.0	31.5577285708	56.4109967466	57.0121367835	40.2087040945	57.0034845602
50.0	31.4078066888	56.7274956265	56.8586179539	41.3534760135	57.0105057251
55.0	30.7756780833	57.371783614	58.0629517135	34.8376768063	57.1981866606
60.0	31.2320826849	56.0167780624	57.4140977159	41.3552018469	57.5725327895
65.0	31.0134401483	56.1302503316	58.4815969813	44.2518360954	56.6458752138
70.0	31.5987327656	55.5099498727	57.6256336531	39.1119875466	57.3799607593
75.0	31.5789989488	54.8151460138	58.7717525773	42.8271870933	56.7112697741
80.0	31.5356986402	54.7119640566	57.6698701497	41.5893810934	58.0165964094
85.0	31.1171576797	56.789085491	57.0051232241	40.1914582466	57.5145881891
90.0	30.5967464298	55.7337868722	58.6243875626	41.7006870104	58.0023998345
95.0	29.9110003198	56.2544808562	59.3340948798	40.9357485446	58.2909401343
100.0	30.4887658183	54.8772832666	60.3219227364	39.1277354687	57.8044072074
105.0	30.017243958	56.8306870524	59.6923725549	39.1522960662	57.3581861981
110.0	29.858062342	57.695145333	58.4913066113	37.2157173384	58.0867510022
115.0	29.8436851263	58.7480233476	58.0243443971	39.114471844	57.2930102447
120.0	29.826421502	57.1371751474	59.8954174884	37.6308408516	57.4027478257
125.0	29.7825037099	58.3356301016	57.8654853916	39.539252635	57.9281972711
130.0	29.9917682651	57.6912829642	56.9293277415	37.6110064875	59.1894163756
135.0	30.335480895	56.7984540721	57.1458326621	37.1530847064	59.2457082579
140.0	29.5653097086	58.0124255347	58.4362144327	39.2336259798	58.202711509
145.0	30.2618260956	59.9126857652	55.9352856995	38.6247865981	57.2211256095
150.0	30.4201098446	58.6087224377	57.1173272385	40.9714173348	56.9100225229
155.0	30.3101153797	57.1727954394	57.8817111105	43.7107012895	57.6040721212
160.0	30.7156225489	56.6775822037	58.4951031293	42.2444907283	56.8828047946
165.0	30.6033687842	57.514853533	58.3153814812	39.4701097259	56.7092646193
170.0	30.4378957485	58.3567191884	57.7671783149	37.77292414	56.8613140586
175.0	30.7220530739	56.6232188875	58.4835024666	40.8751481761	57.0717428265
180.0	30.5853893928	56.547083423	58.875276013	42.3969516363	56.916453102
185.0	29.7597479907	57.1905144361	58.126485079	48.7882592493	57.9590570405
190.0	30.4119915535	57.2362600289	58.9901834722	46.357833971	56.0744840703
195.0	30.4376542233	57.5152836992	58.4220068075	44.81395258	56.4098508115
