# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	30.3844272597	57.1461710356	59.3573035016	45.6811414892	56.4124711943
5.0	30.6413865377	56.737742682	59.2791019905	48.6943683699	56.0761475395
10.0	30.6875118163	56.8056578834	58.7250397344	49.3815594511	56.3459624546
15.0	30.2229419662	57.5116834905	59.030536052	47.3522825304	56.4969796373
20.0	30.658449784	57.3076533277	58.4937925688	50.5326649343	55.9950011577
25.0	30.4589410802	57.7439969317	57.4500558305	51.848344232	56.7655583662
30.0	30.3910231417	58.8558207547	56.7700934538	52.0585329728	56.3804505022
35.0	30.3053650962	58.4852638983	56.2649835777	49.1423156124	57.6685252519
40.0	30.9803421098	57.016472888	57.1372057862	48.7537476523	57.0411866343
45.0	31.1045074668	57.6087460707	57.1076329488	45.5575307067	56.5469137291
50.0	31.4788556453	58.2646229725	57.5147609344	44.3071539486	54.9009201106
55.0	30.970840073	56.784686201	58.295540184	42.3448389688	56.8903484842
60.0	30.849771056	58.4377418734	57.2321463006	44.28023778	56.2430410992
65.0	30.6390410704	57.2840737053	57.6427681874	45.1149601397	57.3651454883
70.0	30.3503784407	57.7329675187	57.2637664419	44.0087540198	57.9453302554
75.0	30.8182975178	58.2324829126	56.8106614378	38.6412283067	57.4544688259
80.0	30.4561164855	57.2206805477	57.860804777	39.4958569412	58.1600323311
85.0	30.3684508971	57.2566301121	56.5445733401	42.5320468092	59.1804715029
90.0	30.980174607	58.0208672461	57.09402783	48.0924672434	56.1421299962
95.0	30.5253405498	56.9501618585	57.3839011888	48.469098318	57.8241412409
100.0	31.2262800394	57.6161246128	56.1164557204	43.2176652551	57.4220575317
105.0	30.615469497	57.8625977474	57.2504140094	50.4292090544	56.655418517
110.0	30.1199871727	58.9700132768	56.0615078514	41.8892939922	58.4629094167
115.0	30.4500275759	56.9235526923	57.9493613431	40.1484323073	58.3244648424
120.0	30.2337861492	57.309446451	57.6809378564	46.0575614191	58.0217055866
125.0	30.3169029175	56.0363975515	57.7584722005	46.6997619823	58.994432413
130.0	29.9405304587	57.4579477005	56.8635598945	46.3806004491	59.1629767594
135.0	30.7467088472	55.9087937631	56.9202155067	47.6312739003	58.9238015635
140.0	30.0539999723	58.74690545	56.388704631	44.0326129148	58.3093292317
145.0	30.1003559243	58.5142681996	56.9382829867	39.3400996841	58.4238786839
150.0	30.85439147	58.4810071666	55.5277437716	36.1095302973	58.5415687753
155.0	30.278892996	58.2240033973	56.6106198367	42.2681496818	58.3590520032
160.0	30.6996323675	58.6958315537	57.3071398145	39.572729634	56.6885355744
165.0	31.2890565877	57.660292283	56.9402918458	33.6644397622	57.4662297589
170.0	31.0038335757	57.4050744583	56.6566973023	40.079149765	57.9055652993
175.0	30.4147225969	57.4392827834	57.8562323252	47.6753213442	57.2103146213
180.0	31.2532843591	56.010969715	57.589694982	42.8195803344	57.6870745277
185.0	30.7771905213	56.3845512239	57.7025420598	39.8413097702	58.4619278817
190.0	30.7966437659	58.1436451692	57.5469824859	42.9024317104	56.4978887807
195.0	31.1005778122	56.720049204	57.396615295	47.1367908995	57.0254354865
