# Min=-73.0, Max=73.0, Bin size = 1.0
# Bin ranges
#	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0
# Range	Density
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.00274588535181
-41.0	0.0277845534199
-40.0	0.045094886331
-39.0	0.0450983772711
-38.0	0.045397272799
-37.0	0.0456575498856
-36.0	0.0443901199066
-35.0	0.0455795928805
-34.0	0.0452746226664
-33.0	0.0450023584813
-32.0	0.0452783006703
-31.0	0.0455329593127
-30.0	0.0455342210063
-29.0	0.0448290557705
-28.0	0.0456721676021
-27.0	0.0464574238946
-26.0	0.0448653714343
-25.0	0.0460049029602
-24.0	0.0471406879861
-23.0	0.0476361015492
-22.0	0.047316051233
-21.0	0.0501724910127
-20.0	0.0475163253161
-19.0	0.0474647217443
-18.0	0.0475809437102
-17.0	0.0452401202099
-16.0	0.0479032409452
-15.0	0.043936062364
-14.0	0.0434202296525
-13.0	0.0449538458139
-12.0	0.0434579854518
-11.0	0.043426356567
-10.0	0.0423931499626
-9.0	0.0425706868101
-8.0	0.0416065749925
-7.0	0.0416360889372
-6.0	0.0421023050296
-5.0	0.0423968695606
-4.0	0.0436461171081
-3.0	0.0445134590537
-2.0	0.0441179180296
-1.0	0.0425061126207
0.0	0.0436558832525
1.0	0.0429203995278
2.0	0.044603582967
3.0	0.0453924166765
4.0	0.0466164013148
5.0	0.0489246683811
6.0	0.0503795112518
7.0	0.0522133242115
8.0	0.0514650634074
9.0	0.0531125719905
10.0	0.0511686785472
11.0	0.0480309006501
12.0	0.049563505884
13.0	0.0496228268315
14.0	0.0500125859138
15.0	0.0496395173171
16.0	0.0512553228867
17.0	0.0538442482859
18.0	0.0532904074755
19.0	0.0509904060938
20.0	0.051932759904
21.0	0.0495263100113
22.0	0.0492569573407
23.0	0.0489098335186
24.0	0.0482141028192
25.0	0.0483659279111
26.0	0.0466517711317
27.0	0.0461135193767
28.0	0.0461681544352
29.0	0.0459425131822
30.0	0.0452736230227
31.0	0.0459583647189
32.0	0.0447900017059
33.0	0.0456154024488
34.0	0.0450524294455
35.0	0.045494598865
36.0	0.04550707977
37.0	0.0452856191401
38.0	0.0451772195378
39.0	0.0449558376103
40.0	0.0455475296593
41.0	0.0332753148205
42.0	0.00514854027433
43.0	5.26405994942e-06
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
