# Min=-52.0, Max=52.0, Bin size = 1.0
# Bin ranges
#	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0
# Range	Density
-52.0	5.447477441e-05
-51.0	7.78211063e-06
-50.0	0.0
-49.0	2.31637763595e-05
-48.0	2.30177590815e-05
-47.0	7.89814659589e-05
-46.0	0.000460059072021
-45.0	0.00114200616836
-44.0	0.00222602439112
-43.0	0.00339817778364
-42.0	0.00437836977195
-41.0	0.00402340532702
-40.0	0.00369861956093
-39.0	0.00263702298497
-38.0	0.00207317357765
-37.0	0.00116900159616
-36.0	0.000929526553918
-35.0	0.000437523048529
-34.0	0.000271397692037
-33.0	0.000142754759666
-32.0	7.83882836526e-05
-31.0	3.47894421537e-05
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	1.56275216273e-05
-24.0	0.000181650964161
-23.0	0.000577523932389
-22.0	0.00149385777646
-21.0	0.00325761362437
-20.0	0.00617050704552
-19.0	0.0100601655666
-18.0	0.0128702506215
-17.0	0.0143403852361
-16.0	0.0144172367701
-15.0	0.012786196728
-14.0	0.0110118653871
-13.0	0.00854012359321
-12.0	0.00524856099781
-11.0	0.00369040381681
-10.0	0.00281372206906
-9.0	0.00322455885003
-8.0	0.00367411222394
-7.0	0.00468234396765
-6.0	0.00625953770022
-5.0	0.00816972669572
-4.0	0.00914183861134
-3.0	0.00887125545423
-2.0	0.00703282991697
-1.0	0.0052005763488
0.0	0.00342286987968
1.0	0.00190191395542
2.0	0.00107037298926
3.0	0.000373449982019
4.0	0.000121955724898
5.0	3.47852033712e-05
6.0	0.0
7.0	0.0
8.0	0.0
9.0	2.38695480052e-05
10.0	0.000228300266224
11.0	0.000706407052299
12.0	0.00147965545195
13.0	0.00301235306563
14.0	0.00451843162478
15.0	0.00677635748807
16.0	0.00764716570327
17.0	0.00856273556069
18.0	0.00726988962788
19.0	0.00692699558567
20.0	0.00544151084122
21.0	0.0045171683984
22.0	0.00308704690613
23.0	0.0027398430795
24.0	0.00274444621828
25.0	0.00461183700807
26.0	0.00696187688021
27.0	0.00973597877058
28.0	0.011324512946
29.0	0.0120739319945
30.0	0.0110827712776
31.0	0.00867979542545
32.0	0.00580797601755
33.0	0.0037966988301
34.0	0.00202295508098
35.0	0.000970710333075
36.0	0.000427058836283
37.0	0.000139510607724
38.0	5.23688279085e-05
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
