# Min=-71.0, Max=71.0, Bin size = 1.0
# Bin ranges
#	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0
# Range	Density
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	-0.00134553402543
-40.0	-0.0144427815696
-39.0	-0.0184135154734
-38.0	-0.0180364873872
-37.0	-0.018171814677
-36.0	-0.0177434012128
-35.0	-0.0181237187448
-34.0	-0.017128848696
-33.0	-0.0176840313691
-32.0	-0.0173615179419
-31.0	-0.0168845085884
-30.0	-0.0167453582617
-29.0	-0.0167606561542
-28.0	-0.0166394271484
-27.0	-0.0159392539167
-26.0	-0.0158961335665
-25.0	-0.0153765771684
-24.0	-0.0149754531062
-23.0	-0.0140889003815
-22.0	-0.0132383854558
-21.0	-0.0114275078546
-20.0	-0.0110337620704
-19.0	-0.0100874466878
-18.0	-0.00818692351388
-17.0	-0.00701970548295
-16.0	-0.00600310944418
-15.0	-0.00501437869424
-14.0	-0.00315886878414
-13.0	-0.00237228610721
-12.0	-0.0015616683443
-11.0	-0.000804069308511
-10.0	-0.000464050458444
-9.0	-0.000314390915286
-8.0	-5.78814649554e-05
-7.0	-1.49500846925e-05
-6.0	-1.01304615484e-05
-5.0	-3.65194888118e-06
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	2.6717409347e-06
9.0	2.41996782221e-05
10.0	5.27980101147e-05
11.0	0.000154460958833
12.0	0.000416185679942
13.0	0.000819377377843
14.0	0.00115108079556
15.0	0.00189615062189
16.0	0.00232311828114
17.0	0.00303043998907
18.0	0.00370059297905
19.0	0.00482664526091
20.0	0.00616646637041
21.0	0.00787196881971
22.0	0.00948242254297
23.0	0.0101602723671
24.0	0.0115360687437
25.0	0.0122785781436
26.0	0.0132216334122
27.0	0.014335536634
28.0	0.0141249252099
29.0	0.0159071614375
30.0	0.0154703412239
31.0	0.0162307562277
32.0	0.0170278826684
33.0	0.0171204885506
34.0	0.0174958908598
35.0	0.0169964727721
36.0	0.0181138896586
37.0	0.017816250617
38.0	0.0179990260916
39.0	0.0183573247903
40.0	0.0183821916518
41.0	0.0181527198282
42.0	0.0175603504165
43.0	0.00454933412324
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
