# Time(ps)	Thickness
0.0	33.7795043945
5.0	34.9631479976
10.0	34.5382789096
15.0	34.9086997431
20.0	35.3039491123
25.0	33.8065121259
30.0	33.9087758196
35.0	33.7007383623
40.0	32.6108129333
45.0	32.7453744589
50.0	32.5798907369
55.0	33.0762832434
60.0	32.7934846158
65.0	34.3029174805
70.0	32.9310379028
75.0	32.8607833862
80.0	34.2036239624
85.0	32.8917114258
90.0	33.3615635286
95.0	32.1128536203
100.0	33.6192194299
105.0	34.1065124512
110.0	33.7469859373
115.0	32.2078752308
120.0	32.7779701067
125.0	31.771069618
130.0	32.2016905825
135.0	31.9420939606
140.0	32.6132374911
145.0	32.0674616077
150.0	31.9714005596
155.0	31.6371372107
160.0	32.2823607995
165.0	32.6651779175
170.0	31.3564963433
175.0	31.4394034861
180.0	31.717794115
185.0	31.8775835922
190.0	31.4086810348
195.0	31.418244632
