# Time(ps)	Thickness
0.0	58.1993002775
5.0	57.7620287129
10.0	56.5647020527
15.0	57.2987156288
20.0	57.8614190794
25.0	58.7496602161
30.0	57.8752190953
35.0	57.9220716803
40.0	50.8373676324
45.0	51.7037924561
50.0	51.0630515556
55.0	57.8355094281
60.0	58.1330922122
65.0	57.6429922066
70.0	58.2722360188
75.0	58.3065820754
80.0	57.8892666686
85.0	52.5317625539
90.0	59.0311415176
95.0	40.7015404795
100.0	58.8254038815
105.0	52.3808341597
110.0	58.1078153388
115.0	39.7411369679
120.0	52.1108937535
125.0	31.6527301972
130.0	39.960246965
135.0	39.9434144263
140.0	39.7289201325
145.0	30.4443512289
150.0	24.4450518472
155.0	24.3867355688
160.0	30.4898556414
165.0	30.6411820075
170.0	23.8472560454
175.0	24.3973983862
180.0	29.8160559015
185.0	25.0042115438
190.0	24.5971699467
195.0	24.4816792828
