# Time(ps)	Thickness
0.0	49.9204650879
5.0	51.0794697111
10.0	50.5509357755
15.0	51.1492706783
20.0	51.6505567763
25.0	50.3324307732
30.0	50.3090943277
35.0	49.91237319
40.0	48.7947947124
45.0	49.2340498856
50.0	49.0486335441
55.0	49.2992606277
60.0	48.9747920424
65.0	50.4703186035
70.0	49.1560489344
75.0	49.175448623
80.0	50.2798233032
85.0	49.0909031042
90.0	49.6730152477
95.0	48.3824166192
100.0	49.8189066793
105.0	50.2194671631
110.0	49.9818104056
115.0	48.4732733832
120.0	49.4357230952
125.0	47.8735780552
130.0	48.4145923191
135.0	48.282875061
140.0	48.2823537191
145.0	48.2024578518
150.0	47.720597447
155.0	47.3426719448
160.0	48.1857706706
165.0	48.8543636622
170.0	47.3899637277
175.0	47.8939135742
180.0	47.6631427341
185.0	47.9659372965
190.0	47.6913078962
195.0	47.6992490932
