# Time(ps)	Thickness
0.0	26.235710144
5.0	26.2383132935
10.0	26.4857177734
15.0	26.6857437134
20.0	26.0141143799
25.0	26.411265564
30.0	26.5550048828
35.0	26.5081695557
40.0	26.8423461914
45.0	26.4657058716
50.0	26.6219177246
55.0	26.6015792847
60.0	26.5436447144
65.0	27.0178970337
70.0	26.5509399414
75.0	26.2554153442
80.0	26.4382659912
85.0	26.5867706299
90.0	26.5362609863
95.0	26.5803390503
100.0	26.3024765015
105.0	26.4715927124
110.0	26.3375427246
115.0	26.3541061401
120.0	26.7889694214
125.0	26.841192627
130.0	26.8635025024
135.0	26.7623626709
140.0	27.0007385254
145.0	26.7113952637
150.0	26.492515564
155.0	26.6422210693
160.0	26.8860229492
165.0	26.7694503784
170.0	26.9808517456
175.0	26.9516387939
180.0	26.8825866699
185.0	26.6648544312
190.0	27.1457702637
195.0	26.7987457275
200.0	26.7257629395
205.0	26.9544754028
210.0	26.8172195435
215.0	26.7004348755
220.0	26.6394699097
225.0	26.3576141357
230.0	26.3930938721
235.0	26.7195281982
240.0	26.481602478
245.0	26.6572753906
250.0	26.4202789307
255.0	26.4022628784
260.0	26.7746139526
265.0	26.9295425415
270.0	27.2729400635
275.0	27.1215881348
280.0	26.7634262085
285.0	27.1727325439
290.0	27.147517395
295.0	27.2306900024
300.0	27.3997055054
305.0	27.5132202148
310.0	27.2557815552
315.0	27.28309021
320.0	27.3657928467
325.0	27.3302108765
330.0	27.2331665039
335.0	27.3463134766
340.0	27.5111785889
345.0	27.6014755249
350.0	27.5058197021
355.0	27.1400039673
360.0	27.3539276123
365.0	27.4951721191
370.0	27.2928085327
375.0	27.2138641357
380.0	27.2429992676
385.0	27.4678161621
390.0	27.7207870483
395.0	27.6621963501
400.0	27.4680923462
405.0	27.63072052
410.0	27.5403549194
415.0	27.495451355
420.0	27.6365600586
425.0	27.5588241577
430.0	27.7388793945
435.0	27.4178619385
440.0	27.43934021
445.0	27.3284317017
450.0	27.3316986084
455.0	27.2145874023
460.0	27.0101486206
465.0	27.0262283325
470.0	26.9640365601
475.0	26.9300827026
480.0	26.9213363647
485.0	27.0755828857
490.0	27.5115097046
495.0	27.2449005127
500.0	27.0327651978
505.0	27.0830780029
510.0	26.9837051392
515.0	27.0987823486
520.0	27.1754959106
525.0	27.1078674316
530.0	27.2119308472
535.0	27.2613540649
540.0	27.0825454712
545.0	26.9363464355
550.0	27.0037094116
555.0	26.8343292236
560.0	27.1026550293
565.0	27.0204055786
570.0	26.6502182007
575.0	26.8033447266
580.0	27.0313827515
585.0	26.894367981
590.0	26.9988677979
595.0	27.0398666382
600.0	27.545930481
605.0	27.4237304688
610.0	27.2628753662
615.0	27.3411468506
620.0	27.6263504028
625.0	27.5762268066
630.0	27.3918365479
635.0	27.5514877319
640.0	27.621434021
645.0	27.6252792358
650.0	27.4405090332
655.0	27.4894561768
660.0	27.5293243408
665.0	27.2157394409
670.0	27.1945281982
675.0	27.1544174194
680.0	27.3851669312
685.0	27.2648834229
690.0	27.158303833
695.0	27.4163238525
700.0	27.2822525024
705.0	27.4006225586
710.0	27.4772720337
715.0	27.5075210571
720.0	27.3578582764
725.0	27.3639648438
730.0	27.1787307739
735.0	27.4097686768
740.0	27.0505966187
745.0	27.1363739014
750.0	27.0752197266
755.0	27.1372848511
760.0	27.4241638184
765.0	27.4713317871
770.0	27.2325012207
775.0	27.3539871216
780.0	27.031578064
785.0	27.13331604
790.0	27.2046478271
795.0	27.2504608154
800.0	26.9420272827
805.0	27.1594467163
810.0	26.9481491089
815.0	27.0911148071
820.0	26.9037780762
825.0	27.0653701782
830.0	27.2049835205
835.0	26.9854721069
840.0	27.0334075928
845.0	26.8798904419
850.0	27.1498168945
855.0	26.683241272
860.0	26.8595489502
865.0	26.6614868164
870.0	26.9583389282
875.0	26.7646987915
880.0	26.7892059326
885.0	26.7914138794
890.0	26.654095459
895.0	26.5047836304
900.0	26.5086761475
905.0	26.8202819824
910.0	26.7235733032
915.0	27.1256896973
920.0	27.1953857422
925.0	27.2218795776
930.0	27.2954086304
935.0	27.3866226196
940.0	27.7117050171
945.0	27.4186264038
950.0	27.1861679077
955.0	26.964616394
960.0	27.1137771606
965.0	26.9818710327
970.0	27.131842041
975.0	27.0124603271
980.0	26.8500946045
985.0	26.664163208
990.0	26.5511077881
995.0	26.5011306763
1000.0	26.7373550415
1005.0	26.729473877
1010.0	26.7453674316
1015.0	26.5567306519
1020.0	26.3207901001
1025.0	26.4165237427
1030.0	26.3882492065
1035.0	26.8732223511
1040.0	26.8493133545
1045.0	26.6688522339
1050.0	26.7039810181
1055.0	26.3694046021
1060.0	26.312461853
1065.0	26.8165084839
1070.0	26.69896698
1075.0	26.7528305054
1080.0	27.0095962524
1085.0	26.8024993896
1090.0	26.7951675415
1095.0	26.854524231
1100.0	26.5452331543
1105.0	27.0398208618
1110.0	26.921270752
1115.0	26.8154632568
1120.0	26.7895492554
1125.0	26.7394805908
1130.0	26.8353515625
1135.0	26.7927566528
1140.0	26.882598877
1145.0	26.941847229
1150.0	26.6957565308
1155.0	27.330229187
1160.0	26.9658813477
1165.0	26.9064666748
1170.0	27.1816619873
1175.0	26.8248687744
1180.0	26.9951965332
1185.0	27.1652923584
1190.0	26.9121856689
1195.0	26.9699645996
1200.0	26.9880187988
1205.0	27.2503753662
1210.0	27.3235900879
1215.0	27.1084060669
1220.0	27.0741546631
1225.0	27.1700790405
1230.0	26.7913864136
1235.0	27.2838485718
1240.0	26.9567596436
1245.0	27.1387191772
1250.0	27.5587646484
1255.0	27.6534561157
1260.0	27.4166442871
1265.0	27.4774459839
1270.0	27.2780792236
1275.0	27.2483154297
1280.0	27.3171661377
1285.0	26.9362121582
1290.0	26.8837020874
1295.0	27.3073654175
1300.0	27.1298614502
1305.0	27.2018768311
1310.0	27.2504241943
1315.0	27.6193969727
1320.0	27.745614624
1325.0	27.3219497681
1330.0	27.1582458496
1335.0	27.1317550659
1340.0	26.994909668
1345.0	27.0474197388
1350.0	26.9031280518
1355.0	26.9580444336
1360.0	26.7389862061
1365.0	27.0071456909
1370.0	26.9276657104
1375.0	26.7707336426
1380.0	26.8776321411
1385.0	26.9809112549
1390.0	26.9919967651
1395.0	27.0287506104
1400.0	26.989491272
1405.0	27.2279067993
1410.0	27.2653060913
1415.0	27.3819412231
1420.0	27.1087890625
1425.0	26.7907958984
1430.0	27.2695846558
1435.0	27.1383682251
1440.0	27.2237503052
1445.0	26.9743896484
1450.0	26.9752471924
1455.0	27.0201370239
1460.0	27.0364479939
1465.0	27.0952941895
1470.0	27.4841186523
1475.0	27.6387252808
1480.0	27.6710784912
1485.0	27.6132614136
1490.0	27.6341903687
1495.0	27.4493759155
1500.0	27.643081665
1505.0	27.5793548584
1510.0	27.4011810303
1515.0	27.353666687
1520.0	27.314727807
1525.0	27.0877532959
1530.0	27.3067782426
1535.0	27.4937780767
1540.0	27.7591285855
1545.0	27.6454727173
1550.0	27.1776260376
1555.0	27.4619049072
1560.0	27.3310928345
1565.0	27.3953586918
1570.0	27.2728252217
1575.0	27.4662392317
1580.0	27.5079040527
1585.0	27.6787541266
1590.0	27.607134984
1595.0	27.4625717163
1600.0	27.3972846137
1605.0	26.9384025267
1610.0	27.139390564
1615.0	26.8609649658
1620.0	27.1063812256
1625.0	27.2534088135
1630.0	27.0774669382
1635.0	26.8493490575
1640.0	27.2837356567
1645.0	26.9167072805
1650.0	27.1739344
1655.0	26.9040603268
1660.0	27.2549833646
1665.0	27.0922988892
1670.0	27.3609280533
1675.0	27.4415908911
1680.0	27.3168964389
1685.0	27.4646108836
1690.0	27.3432357788
1695.0	27.0973876953
1700.0	27.1433441162
1705.0	27.4568130493
1710.0	27.6247116089
1715.0	27.1922363281
1720.0	27.167364502
1725.0	27.3784896851
1730.0	27.3386276245
1735.0	27.1448007814
1740.0	27.1602084623
1745.0	27.368347168
1750.0	27.5593369501
1755.0	27.3134078979
1760.0	27.4330856323
1765.0	27.1206726074
1770.0	27.0524414063
1775.0	27.0726669312
1780.0	27.078225708
1785.0	27.2549865723
1790.0	27.480065918
1795.0	27.4120498657
1800.0	27.4317749023
1805.0	27.1811706543
1810.0	27.6147247314
1815.0	27.3936126709
1820.0	27.2544723511
1825.0	27.165763855
1830.0	27.3399795532
1835.0	26.8703155518
1840.0	27.0726699829
1845.0	27.2923141479
1850.0	27.2901382446
1855.0	27.3248886108
1860.0	27.2873062134
1865.0	27.4577514648
1870.0	27.3344406128
1875.0	27.2620376587
1880.0	27.0542098999
1885.0	27.2252441406
1890.0	27.3681289673
1895.0	27.2532073975
1900.0	27.0992767334
1905.0	27.2567382813
1910.0	26.8779067993
1915.0	27.0774597168
1920.0	27.1838424683
1925.0	27.3161193848
1930.0	27.1440200806
1935.0	27.4521438599
1940.0	27.0891311646
1945.0	27.2182678223
1950.0	26.8199417114
1955.0	26.793415311
1960.0	26.8408447266
1965.0	27.1108718872
1970.0	27.0023406982
1975.0	26.8449432373
1980.0	26.697618103
1985.0	26.9964385986
1990.0	27.364604187
1995.0	27.0332809448
2000.0	27.1919418335
2005.0	27.360055542
2010.0	27.4378677368
2015.0	27.4230957031
2020.0	27.5654754639
2025.0	27.6185470581
2030.0	27.4166152954
2035.0	27.2963378906
2040.0	27.4924667358
2045.0	27.6747695923
2050.0	27.5914733887
2055.0	27.5318572998
2060.0	27.3256378174
2065.0	27.8097885132
2070.0	27.7984344482
2075.0	27.254006958
2080.0	27.2912902832
2085.0	27.3831283569
2090.0	27.4002212524
2095.0	27.3494155884
2100.0	27.2568466187
2105.0	27.2909942627
2110.0	27.1980514526
2115.0	27.2415771484
2120.0	27.273135376
2125.0	27.4684127808
2130.0	27.5469848633
2135.0	27.340184021
2140.0	27.4414596558
2145.0	27.4736816406
2150.0	27.767300415
2155.0	27.4028030396
2160.0	27.396282959
2165.0	27.1407409668
2170.0	27.5308364868
2175.0	27.7011077881
2180.0	27.3071105957
2185.0	27.2454406738
2190.0	27.4112564087
2195.0	27.2745895386
2200.0	27.2565933228
2205.0	27.3608306885
2210.0	26.9769790649
2215.0	27.334979248
2220.0	27.0782196045
2225.0	27.3160308838
2230.0	27.4738891602
2235.0	27.5507385254
2240.0	27.6510772705
2245.0	27.5477233887
2250.0	27.8327850342
2255.0	27.6934936523
2260.0	27.3952972412
2265.0	27.2079711914
2270.0	27.4507598877
2275.0	27.3532836914
2280.0	27.1333297729
2285.0	27.2893768311
2290.0	26.883581543
2295.0	27.1443191528
2300.0	27.3338272095
2305.0	27.3099899292
2310.0	27.0261367798
2315.0	27.2438980103
2320.0	27.4781600952
2325.0	27.536932373
2330.0	27.3852371216
2335.0	27.5957519531
2340.0	27.1077560425
2345.0	27.4567947388
