# Time(ps)	Thickness
0.0	31.3153086344
5.0	31.3047892253
10.0	31.6043243408
15.0	31.8681752523
20.0	31.2282185872
25.0	31.6094502767
30.0	31.8101460775
35.0	31.7480875651
40.0	32.0899800618
45.0	31.6533376058
50.0	31.8423980713
55.0	31.6946492513
60.0	31.7887929281
65.0	32.3111989339
70.0	31.8013895671
75.0	31.5412699382
80.0	31.6759348551
85.0	31.9700459798
90.0	31.8685841878
95.0	31.9121887207
100.0	31.6457570394
105.0	31.8260264079
110.0	31.6497873942
115.0	31.7095611572
120.0	32.1756296794
125.0	32.2358601888
130.0	32.3122741699
135.0	32.2223958333
140.0	32.574726359
145.0	32.1852986654
150.0	31.9552317301
155.0	32.1126983643
160.0	32.4638315837
165.0	32.231133016
170.0	32.3704620361
175.0	32.4022491455
180.0	32.4338765462
185.0	32.0769012451
190.0	32.5448242188
195.0	32.2672658285
200.0	32.1584381104
205.0	32.4514119466
210.0	32.3117828369
215.0	32.1104115804
220.0	32.0959523519
225.0	31.7957336426
230.0	31.6606913249
235.0	32.099113973
240.0	31.8106801351
245.0	32.0639556885
250.0	31.7837280273
255.0	31.84237264
260.0	32.2028340658
265.0	32.2781117757
270.0	32.6505930583
275.0	32.5098185221
280.0	32.0906016032
285.0	32.4893137614
290.0	32.4571105957
295.0	32.6652781169
300.0	32.7274230957
305.0	32.7641703288
310.0	32.5400095622
315.0	32.5959788005
320.0	32.6223612467
325.0	32.6636138916
330.0	32.6262858073
335.0	32.692078654
340.0	32.8927764893
345.0	32.9593180339
350.0	32.8143595378
355.0	32.3519846598
360.0	32.6625854492
365.0	32.9082641602
370.0	32.6233337402
375.0	32.554296875
380.0	32.5132303874
385.0	32.8909861247
390.0	33.1744069417
395.0	33.0968231201
400.0	32.7904815674
405.0	33.0490844727
410.0	32.9490804036
415.0	32.823554484
420.0	33.0339772542
425.0	32.9183502197
430.0	33.2117746989
435.0	32.8142964681
440.0	32.8085601807
445.0	32.694619751
450.0	32.7391265869
455.0	32.5675811768
460.0	32.3549682617
465.0	32.3485005697
470.0	32.2755360921
475.0	32.2112070719
480.0	32.149915568
485.0	32.3394775391
490.0	32.8827941895
495.0	32.5586374919
500.0	32.3279012044
505.0	32.3897827148
510.0	32.2385447184
515.0	32.3447509766
520.0	32.4807271322
525.0	32.3690612793
530.0	32.5541666667
535.0	32.5828358968
540.0	32.4118459066
545.0	32.3110626221
550.0	32.3508076986
555.0	32.177041626
560.0	32.4114156087
565.0	32.3088002523
570.0	31.9305185954
575.0	32.0469411214
580.0	32.243274943
585.0	32.0389007568
590.0	32.2410369873
595.0	32.2956542969
600.0	32.804099528
605.0	32.7035013835
610.0	32.4811228434
615.0	32.6651346842
620.0	32.9265960693
625.0	32.8582082113
630.0	32.6471710205
635.0	32.8748494466
640.0	32.9633402507
645.0	32.9595408122
650.0	32.8067738851
655.0	32.7834421794
660.0	32.8260142008
665.0	32.4530965169
670.0	32.4340586344
675.0	32.4189229329
680.0	32.6621887207
685.0	32.4435139974
690.0	32.4425730387
695.0	32.6957682292
700.0	32.5579274495
705.0	32.7481496175
710.0	32.8004547119
715.0	32.9218282064
720.0	32.7917134603
725.0	32.7835652669
730.0	32.5086659749
735.0	32.8046569824
740.0	32.2897460937
745.0	32.4100158691
750.0	32.3919911702
755.0	32.449593099
760.0	32.7670888265
765.0	32.7895243327
770.0	32.4788848877
775.0	32.6206542969
780.0	32.3339508057
785.0	32.4218597412
790.0	32.5196787516
795.0	32.5312225342
800.0	32.2644256592
805.0	32.4734364827
810.0	32.3040262858
815.0	32.4498291016
820.0	32.2043192546
825.0	32.2976572673
830.0	32.515918986
835.0	32.3166005452
840.0	32.3014373779
845.0	32.1448181152
850.0	32.4153523763
855.0	31.8878163656
860.0	32.0732757568
865.0	31.9646158854
870.0	32.2024922689
875.0	31.9669972738
880.0	31.9956359863
885.0	32.0637471517
890.0	31.896585083
895.0	31.6568023682
900.0	31.7529459635
905.0	32.1054616292
910.0	31.9890920003
915.0	32.37684021
920.0	32.4926798503
925.0	32.5736968994
930.0	32.6310160319
935.0	32.7755228678
940.0	33.1043487549
945.0	32.765524292
950.0	32.4065246582
955.0	32.1966379801
960.0	32.3867665609
965.0	32.2912221273
970.0	32.4390767415
975.0	32.2952565511
980.0	32.099299113
985.0	31.9023203532
990.0	31.798147583
995.0	31.6663513184
1000.0	31.9822113037
1005.0	31.9692240397
1010.0	31.9803110758
1015.0	31.7703501383
1020.0	31.5310994466
1025.0	31.5783681234
1030.0	31.5851389567
1035.0	32.0570098877
1040.0	32.0664927165
1045.0	31.9353861491
1050.0	31.9200805664
1055.0	31.5415140788
1060.0	31.4725565592
1065.0	32.0281921387
1070.0	31.8917215983
1075.0	31.96980896
1080.0	32.2644032796
1085.0	32.0051259359
1090.0	32.1236582438
1095.0	32.1058685303
1100.0	31.7935740153
1105.0	32.3501739502
1110.0	32.1477020264
1115.0	32.0664815267
1120.0	32.0098805745
1125.0	31.9271565755
1130.0	32.0702178955
1135.0	32.0617757161
1140.0	32.1013010661
1145.0	32.1894510905
1150.0	31.8604532878
1155.0	32.550785319
1160.0	32.029482015
1165.0	32.0248474121
1170.0	32.2859568278
1175.0	32.0641489665
1180.0	32.2565419515
1185.0	32.4473856608
1190.0	32.1045298258
1195.0	32.1745788574
1200.0	32.2643981934
1205.0	32.5303110758
1210.0	32.6714772542
1215.0	32.4133270264
1220.0	32.5102355957
1225.0	32.4628662109
1230.0	32.0719665527
1235.0	32.6332051595
1240.0	32.3080830892
1245.0	32.4965616862
1250.0	32.8875640869
1255.0	33.0359771729
1260.0	32.8277496338
1265.0	32.8684885661
1270.0	32.6736328125
1275.0	32.5893941243
1280.0	32.7154520671
1285.0	32.3022918701
1290.0	32.2516194661
1295.0	32.6701609294
1300.0	32.4496724447
1305.0	32.5566955566
1310.0	32.567086792
1315.0	33.002935791
1320.0	33.2488840739
1325.0	32.6701924642
1330.0	32.4485677083
1335.0	32.5065124512
1340.0	32.4538686117
1345.0	32.5044993083
1350.0	32.3593373617
1355.0	32.4762990316
1360.0	32.2616729736
1365.0	32.4413523356
1370.0	32.4283721924
1375.0	32.2281890869
1380.0	32.3291524251
1385.0	32.4110351563
1390.0	32.452617391
1395.0	32.4617197673
1400.0	32.4382700602
1405.0	32.7568481445
1410.0	32.7461669922
1415.0	32.9144978841
1420.0	32.6072611491
1425.0	32.2749989827
1430.0	32.7727549235
1435.0	32.6548441569
1440.0	32.7683319092
1445.0	32.5576894124
1450.0	32.4901947021
1455.0	32.598719279
1460.0	32.4721201579
1465.0	32.6502492269
1470.0	32.9965026855
1475.0	33.1856333415
1480.0	33.2119354248
1485.0	33.1316507975
1490.0	33.1694824219
1495.0	33.0022277832
1500.0	33.2717549642
1505.0	33.1550282796
1510.0	33.0032704671
1515.0	32.9533976237
1520.0	32.8714864095
1525.0	32.554901123
1530.0	32.750004069
1535.0	32.9738484701
1540.0	33.2575531006
1545.0	33.1580362956
1550.0	32.7159261068
1555.0	32.9763824463
1560.0	32.8433268229
1565.0	32.9426228841
1570.0	32.7530497233
1575.0	32.9781850179
1580.0	32.94825236
1585.0	33.0571085612
1590.0	33.070820109
1595.0	32.8452758789
1600.0	32.7500325521
1605.0	32.3157450358
1610.0	32.485550944
1615.0	32.161046346
1620.0	32.5217936198
1625.0	32.6724294027
1630.0	32.4934326172
1635.0	32.2564870199
1640.0	32.6643178304
1645.0	32.2453430176
1650.0	32.5259796143
1655.0	32.2195505778
1660.0	32.5855865479
1665.0	32.5618855794
1670.0	32.8280314128
1675.0	32.9389719645
1680.0	32.6785146077
1685.0	32.9317860921
1690.0	32.7853597005
1695.0	32.5558492025
1700.0	32.5379058838
1705.0	32.861714681
1710.0	33.0902740479
1715.0	32.6518697103
1720.0	32.6988433838
1725.0	32.8681365967
1730.0	32.8202921549
1735.0	32.4884918213
1740.0	32.5168375651
1745.0	32.817561849
1750.0	33.0064870199
1755.0	32.7895111084
1760.0	32.8889526367
1765.0	32.6225362142
1770.0	32.4866292318
1775.0	32.5431599935
1780.0	32.5094045003
1785.0	32.6817637126
1790.0	32.9162648519
1795.0	32.8027648926
1800.0	32.8112487793
1805.0	32.5870992025
1810.0	33.0404958089
1815.0	32.7445709229
1820.0	32.5515401204
1825.0	32.5940622965
1830.0	32.669128418
1835.0	32.1759195964
1840.0	32.5011566162
1845.0	32.6769673665
1850.0	32.7879597982
1855.0	32.7410664876
1860.0	32.7144175212
1865.0	32.9289998372
1870.0	32.776071167
1875.0	32.6570332845
1880.0	32.3911783854
1885.0	32.533509318
1890.0	32.6870391846
1895.0	32.5783589681
1900.0	32.3210744222
1905.0	32.4593221029
1910.0	32.1197998047
1915.0	32.3069651286
1920.0	32.4678944906
1925.0	32.5900990804
1930.0	32.3655700684
1935.0	32.7271097819
1940.0	32.3149159749
1945.0	32.4325978597
1950.0	31.9737630208
1955.0	31.9732777913
1960.0	32.0525400798
1965.0	32.3254536947
1970.0	32.2610473633
1975.0	32.1313191732
1980.0	31.9489837646
1985.0	32.3412465413
1990.0	32.6204966227
1995.0	32.254985555
2000.0	32.3994028727
2005.0	32.6347117106
2010.0	32.6981302897
2015.0	32.6584421794
2020.0	32.8011413574
2025.0	32.9504720052
2030.0	32.6186960856
2035.0	32.4589823405
2040.0	32.6916381836
2045.0	32.8724477132
2050.0	32.7847524007
2055.0	32.7519256592
2060.0	32.4894938151
2065.0	33.048924764
2070.0	33.0308125814
2075.0	32.5165476481
2080.0	32.5985758464
2085.0	32.6812072754
2090.0	32.6993296305
2095.0	32.6264953613
2100.0	32.5446563721
2105.0	32.5245788574
2110.0	32.4402770996
2115.0	32.4811991374
2120.0	32.4780995687
2125.0	32.702263387
2130.0	32.8737813314
2135.0	32.6115783691
2140.0	32.6787536621
2145.0	32.7536407471
2150.0	33.0981882731
2155.0	32.7819966634
2160.0	32.7595387777
2165.0	32.518274943
2170.0	32.9733713786
2175.0	33.1199147542
2180.0	32.6717468262
2185.0	32.5839477539
2190.0	32.7557769775
2195.0	32.6024698893
2200.0	32.5023142497
2205.0	32.6782440186
2210.0	32.3062896729
2215.0	32.7281677246
2220.0	32.4368489583
2225.0	32.6741597493
2230.0	32.8607828776
2235.0	32.915713501
2240.0	33.187020874
2245.0	33.0171966553
2250.0	33.2727854411
2255.0	33.1359303792
2260.0	32.7889119466
2265.0	32.6204742432
2270.0	32.9365437826
2275.0	32.8101898193
2280.0	32.5580749512
2285.0	32.7965627035
2290.0	32.2988474528
2295.0	32.598038737
2300.0	32.825958252
2305.0	32.7632548014
2310.0	32.4036397298
2315.0	32.6173278809
2320.0	32.9009104411
2325.0	33.0139923096
2330.0	32.8437591553
2335.0	33.0914815267
2340.0	32.5781646729
2345.0	32.8690409342
2350.0	32.8398203532
2355.0	32.8997965495
2360.0	32.712020874
2365.0	32.9161193848
2370.0	32.8891042074
