# Time(ps)	Thickness
0.0	41.569527181
5.0	41.6922831217
10.0	41.9588480632
15.0	42.0776204427
20.0	41.3781778971
25.0	41.8716573079
30.0	42.1432393392
35.0	42.1844299316
40.0	42.5185465495
45.0	41.9939005534
50.0	42.1462890625
55.0	42.1999593099
60.0	42.2856404622
65.0	42.631266276
70.0	42.0904459635
75.0	41.8440063477
80.0	41.9644429525
85.0	42.249424235
90.0	42.1203877767
95.0	42.2598856608
100.0	42.0723002116
105.0	42.0496887207
110.0	41.9354187012
115.0	42.1876708984
120.0	42.5903055827
125.0	42.8136128743
130.0	42.7342753092
135.0	42.5230529785
140.0	42.9056599935
145.0	42.6192687988
150.0	42.1153584798
155.0	42.3585103353
160.0	42.6428934733
165.0	42.6329101562
170.0	42.7260884603
175.0	42.6916849772
180.0	42.6612223307
185.0	42.5237426758
190.0	43.037693278
195.0	42.6039489746
200.0	42.6189208984
205.0	42.8067423503
210.0	42.5897766113
215.0	42.3434102376
220.0	42.3766906738
225.0	42.1317810059
230.0	41.9762369792
235.0	42.3267822266
240.0	42.1849344889
245.0	42.4384358724
250.0	42.1603006999
255.0	42.2721700033
260.0	42.6976094564
265.0	42.8498453776
270.0	43.2540974935
275.0	43.137701416
280.0	42.7421183268
285.0	43.2286682129
290.0	43.1659301758
295.0	43.3799275716
300.0	43.2523905436
305.0	43.2759399414
310.0	43.1619995117
315.0	43.0933858236
320.0	43.1997599284
325.0	43.2328145345
330.0	43.1987996419
335.0	43.1491048177
340.0	43.4943990072
345.0	43.6297505697
350.0	43.5163655599
355.0	42.947080485
360.0	43.3776550293
365.0	43.5860839844
370.0	43.1169026693
375.0	43.0857828776
380.0	43.200181071
385.0	43.4921020508
390.0	43.8614379883
395.0	43.8090637207
400.0	43.4461425781
405.0	43.69002889
410.0	43.7220825195
415.0	43.456829834
420.0	43.5734029134
425.0	43.6023620605
430.0	43.9842712402
435.0	43.4265177409
440.0	43.3951843262
445.0	43.3650431315
450.0	43.4065450033
455.0	43.1035522461
460.0	42.9784749349
465.0	43.0155883789
470.0	42.828889974
475.0	42.8348347982
480.0	42.7207621257
485.0	42.9373738607
490.0	43.4734659831
495.0	43.1090413411
500.0	42.889465332
505.0	42.9914245605
510.0	42.8652669271
515.0	43.007598877
520.0	43.104880778
525.0	43.0763671875
530.0	43.1950968424
535.0	43.1678629557
540.0	43.0704223633
545.0	42.9032755534
550.0	42.8185262044
555.0	42.8189331055
560.0	43.1973958333
565.0	43.0929911296
570.0	42.700994873
575.0	42.9281534831
580.0	43.06700236
585.0	42.8714477539
590.0	42.896665446
595.0	43.1139078776
600.0	43.5100158691
605.0	43.7237752279
610.0	43.3196614583
615.0	43.5232076009
620.0	43.8113708496
625.0	43.816192627
630.0	43.4915445964
635.0	43.7971394857
640.0	43.8149495443
645.0	43.868351237
650.0	43.7015136719
655.0	43.5950541178
660.0	43.7924051921
665.0	43.4100423177
670.0	43.2552937826
675.0	43.4081705729
680.0	43.6498819987
685.0	43.4740885417
690.0	43.3092529297
695.0	43.5185078939
700.0	43.4142842611
705.0	43.6102884928
710.0	43.6182495117
715.0	43.8000345866
720.0	43.4652099609
725.0	43.6919169108
730.0	43.4471476237
735.0	43.6576578776
740.0	43.2935201009
745.0	43.4062194824
750.0	43.3588480632
755.0	43.473634847
760.0	43.7174031576
765.0	43.8458089193
770.0	43.5252644857
775.0	43.688273112
780.0	43.1252176921
785.0	43.3894185384
790.0	43.4605977376
795.0	43.3438212077
800.0	43.2881774902
805.0	43.50997111
810.0	43.2115478516
815.0	43.4747497559
820.0	43.1379842122
825.0	43.2539794922
830.0	43.3304117839
835.0	43.2287027995
840.0	43.1545267741
845.0	43.0852294922
850.0	43.3721191406
855.0	42.8227803548
860.0	43.0409301758
865.0	42.9512613932
870.0	43.004313151
875.0	42.8420043945
880.0	42.6665791829
885.0	42.7514383952
890.0	42.6590128581
895.0	42.4898152669
900.0	42.4551472982
905.0	42.9107116699
910.0	42.7311971029
915.0	43.2333679199
920.0	43.4825439453
925.0	43.5097208659
930.0	43.611147054
935.0	43.7684102376
940.0	43.8826782227
945.0	43.458996582
950.0	43.2020202637
955.0	42.9989522298
960.0	43.2428141276
965.0	42.8556803385
970.0	43.1804443359
975.0	43.1152669271
980.0	42.8936340332
985.0	42.7206807454
990.0	42.6534688314
995.0	42.6189453125
1000.0	42.8477925618
1005.0	42.7649271647
1010.0	42.8911173503
1015.0	42.7059509277
1020.0	42.2917480469
1025.0	42.3355224609
1030.0	42.4459269206
1035.0	42.8949788411
1040.0	42.8874206543
1045.0	42.7812235514
1050.0	42.7036580404
1055.0	42.3067810059
1060.0	42.2131693522
1065.0	42.796101888
1070.0	42.7153625488
1075.0	42.7823893229
1080.0	43.022253418
1085.0	42.8859395345
1090.0	42.833795166
1095.0	42.6628804525
1100.0	42.345501709
1105.0	42.9426574707
1110.0	42.8238993327
1115.0	42.661537679
1120.0	42.8548400879
1125.0	42.6412679036
1130.0	42.7019063314
1135.0	42.6186787923
1140.0	42.719913737
1145.0	42.8426574707
1150.0	42.4877909342
1155.0	43.1283610026
1160.0	42.7738891602
1165.0	42.5998901367
1170.0	42.9136169434
1175.0	42.7828755697
1180.0	42.908605957
1185.0	43.1243245443
1190.0	42.6414388021
1195.0	42.879292806
1200.0	42.941607666
1205.0	43.3521260579
1210.0	43.3685180664
1215.0	43.1844319661
1220.0	43.1934346517
1225.0	43.2227762858
1230.0	42.74434611
1235.0	43.2091003418
1240.0	42.793733724
1245.0	42.9356913249
1250.0	43.2772766113
1255.0	43.7181559245
1260.0	43.4202840169
1265.0	43.4461303711
1270.0	43.238083903
1275.0	43.21231486
1280.0	43.4625976562
1285.0	42.9914123535
1290.0	42.7980773926
1295.0	43.3895222982
1300.0	43.0790222168
1305.0	43.1571980794
1310.0	43.198421224
1315.0	43.5828613281
