# Min=-35.0, Max=35.0, Bin size = 1.0
# Bin ranges
#	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0
# Range	Density
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	5.20251606683e-09
-26.0	2.49074623223e-07
-25.0	1.62778198178e-06
-24.0	7.94079818349e-06
-23.0	3.81504673534e-05
-22.0	0.000152753476213
-21.0	0.000534886567015
-20.0	0.00154257577126
-19.0	0.00355317076014
-18.0	0.00664686069427
-17.0	0.0102575238518
-16.0	0.0134111684171
-15.0	0.0155222484404
-14.0	0.0166554912083
-13.0	0.0171573345618
-12.0	0.017408058797
-11.0	0.0176192227517
-10.0	0.0177712826455
-9.0	0.0178434689762
-8.0	0.0178853886268
-7.0	0.0179251555715
-6.0	0.0179330301005
-5.0	0.0179266892813
-4.0	0.0178082075583
-3.0	0.0172469882848
-2.0	0.0158000301699
-1.0	0.013614993877
0.0	0.011798624698
1.0	0.0117334484656
2.0	0.0134641777391
3.0	0.0156785192633
4.0	0.0171666604668
5.0	0.0177865083718
6.0	0.0178911462721
7.0	0.0179363951358
8.0	0.017937774151
9.0	0.0178887021138
10.0	0.0178256636227
11.0	0.0176952294571
12.0	0.0175767681314
13.0	0.0173938759336
14.0	0.0171110784578
15.0	0.0165557850383
16.0	0.0153650584673
17.0	0.0132768906718
18.0	0.0102373575906
19.0	0.00677760735179
20.0	0.00371073498151
21.0	0.00165079474905
22.0	0.000599074300648
23.0	0.000178142051317
24.0	4.11399549347e-05
25.0	7.10920595207e-06
26.0	1.07369663063e-06
27.0	2.00895398798e-07
28.0	5.25892488727e-09
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
