# Min=-35.0, Max=35.0, Bin size = 1.0
# Bin ranges
#	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0
# Range	Density
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	6.40899201608e-09
-27.0	1.07271929367e-07
-26.0	6.53146638858e-07
-25.0	6.70855114449e-06
-24.0	3.99025146685e-05
-23.0	0.000202586552326
-22.0	0.000810347852429
-21.0	0.00236425604285
-20.0	0.00510539306272
-19.0	0.00822941375065
-18.0	0.00988094787495
-17.0	0.00883720336267
-16.0	0.00590509041159
-15.0	0.00306421564892
-14.0	0.00125567133775
-13.0	0.000413123529769
-12.0	0.000108305174269
-11.0	2.22572429042e-05
-10.0	3.50717978349e-06
-9.0	2.78028203969e-07
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	1.13064347132e-07
10.0	1.31380984743e-06
11.0	8.50347685735e-06
12.0	3.86193983445e-05
13.0	0.000142512202584
14.0	0.000481915217473
15.0	0.00138723052614
16.0	0.00319987875447
17.0	0.00592361470656
18.0	0.00851548090585
19.0	0.00949007130882
20.0	0.00809381098887
21.0	0.00520753363476
22.0	0.00252143144326
23.0	0.000921289727258
24.0	0.000254713170152
25.0	5.22391168022e-05
26.0	8.51923172993e-06
27.0	1.07663164608e-06
28.0	1.01181957867e-07
29.0	6.44742280958e-09
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
