# Min=-35.0, Max=35.0, Bin size = 1.0
# Bin ranges
#	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0
# Range	Density
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	1.15055452721e-07
-24.0	1.52666534285e-06
-23.0	1.30551532332e-05
-22.0	6.67278688199e-05
-21.0	0.000270664685519
-20.0	0.000891319164643
-19.0	0.00219469480895
-18.0	0.00421998413011
-17.0	0.00660651420818
-16.0	0.00909563789186
-15.0	0.0114779369109
-14.0	0.0134683155768
-13.0	0.0145978841924
-12.0	0.0150452850328
-11.0	0.0151436197261
-10.0	0.0146221785816
-9.0	0.012931520622
-8.0	0.00986349234729
-7.0	0.00615361457921
-6.0	0.00300749585181
-5.0	0.00111361571536
-4.0	0.000308374247428
-3.0	6.67439033152e-05
-2.0	1.01158515701e-05
-1.0	1.46258113786e-06
0.0	1.29362465692e-07
1.0	3.53379360076e-07
2.0	2.01124773551e-06
3.0	1.56222140193e-05
4.0	9.09927040956e-05
5.0	0.000390755217037
6.0	0.00123739896385
7.0	0.00312262276509
8.0	0.00612723579102
9.0	0.00973171495285
10.0	0.012735903095
11.0	0.0145712098933
12.0	0.015133060805
13.0	0.0150523921684
14.0	0.0145137153038
15.0	0.0134014533071
16.0	0.0114663141456
17.0	0.00911355571871
18.0	0.00664301932927
19.0	0.0042749632756
20.0	0.00227098527744
21.0	0.000927511527339
22.0	0.000279885451278
23.0	5.70964134079e-05
24.0	1.01031044664e-05
25.0	1.60818722398e-06
26.0	3.47442879914e-07
27.0	1.12697359416e-07
28.0	2.83062997017e-08
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
