# Min=-35.0, Max=35.0, Bin size = 1.0
# Bin ranges
#	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0
# Range	Density
-35.0	0.0
-34.0	0.0
-33.0	0.0
-32.0	0.0
-31.0	0.0
-30.0	0.0
-29.0	0.0
-28.0	0.0
-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	0.0
-21.0	0.0
-20.0	0.0
-19.0	0.0
-18.0	0.0
-17.0	0.0
-16.0	0.0
-15.0	1.47911116387e-08
-14.0	5.12674755147e-07
-13.0	6.00302788836e-06
-12.0	3.47163692114e-05
-11.0	0.000142800506495
-10.0	0.000513493479537
-9.0	0.00155343416349
-8.0	0.00349978038045
-7.0	0.00585200563286
-6.0	0.00765202595417
-5.0	0.00843007392515
-4.0	0.00869790179432
-3.0	0.00876717551477
-2.0	0.00821301558244
-1.0	0.00679973259579
0.0	0.00546300816373
1.0	0.00540961233652
2.0	0.00675691097637
3.0	0.00819716397467
4.0	0.00885972296382
5.0	0.00873641126214
6.0	0.0083468146075
7.0	0.00751055948878
8.0	0.00581581130298
9.0	0.00355292862555
10.0	0.00163262674202
11.0	0.000541454115799
12.0	0.000129940208292
13.0	2.69254319274e-05
14.0	5.61369738705e-06
15.0	1.86110327374e-06
16.0	5.43245485229e-07
17.0	9.96566238573e-08
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
