# Min=-100.0, Max=100.0, Bin size = 1.0
# Bin ranges
#	-100.0	-99.0	-98.0	-97.0	-96.0	-95.0	-94.0	-93.0	-92.0	-91.0	-90.0	-89.0	-88.0	-87.0	-86.0	-85.0	-84.0	-83.0	-82.0	-81.0	-80.0	-79.0	-78.0	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
# Range	Density
-100.0	0.0
-99.0	0.0
-98.0	0.0
-97.0	0.0
-96.0	0.0
-95.0	0.0
-94.0	0.0
-93.0	0.0
-92.0	0.0
-91.0	0.0
-90.0	0.0
-89.0	0.0
-88.0	0.0
-87.0	0.0
-86.0	0.0
-85.0	0.0
-84.0	0.0
-83.0	0.0
-82.0	0.0
-81.0	0.0
-80.0	0.0
-79.0	0.0
-78.0	0.0
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	0.0
-55.0	0.0
-54.0	0.0
-53.0	0.0
-52.0	0.0
-51.0	0.0
-50.0	0.0
-49.0	0.0
-48.0	0.0
-47.0	0.0
-46.0	0.0
-45.0	0.0
-44.0	0.0
-43.0	0.0
-42.0	0.0
-41.0	0.0
-40.0	0.0
-39.0	0.0
-38.0	0.0
-37.0	0.0
-36.0	0.0
-35.0	1.65792120682e-08
-34.0	4.53034215844e-07
-33.0	4.28628169376e-06
-32.0	2.80056950734e-05
-31.0	0.000132940403356
-30.0	0.000492699329915
-29.0	0.00140836596572
-28.0	0.00325688922104
-27.0	0.00632252427762
-26.0	0.010415104029
-25.0	0.0149742661064
-24.0	0.0190309876638
-23.0	0.0208764757753
-22.0	0.0194356077242
-21.0	0.0148239956126
-20.0	0.00917893745001
-19.0	0.00449379615517
-18.0	0.0016846960715
-17.0	0.000507270436814
-16.0	0.000116952807158
-15.0	2.04280644703e-05
-14.0	2.20152865245e-06
-13.0	5.23651003833e-08
-12.0	0.0
-11.0	0.0
-10.0	0.0
-9.0	0.0
-8.0	0.0
-7.0	0.0
-6.0	0.0
-5.0	0.0
-4.0	0.0
-3.0	0.0
-2.0	0.0
-1.0	0.0
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	6.16603519e-09
13.0	2.44008462177e-07
14.0	1.33589151373e-06
15.0	9.63918437619e-06
16.0	4.76573470066e-05
17.0	0.000191703632595
18.0	0.0006484895107
19.0	0.00192613043204
20.0	0.00475468694864
21.0	0.00938795753559
22.0	0.0147679022798
23.0	0.0190551180378
24.0	0.0204552055
25.0	0.0186374018973
26.0	0.0147487114635
27.0	0.0102756350303
28.0	0.006313014197
29.0	0.00341294485068
30.0	0.00159672745339
31.0	0.000651670739061
32.0	0.000228417627262
33.0	7.0194911542e-05
34.0	2.01498470037e-05
35.0	5.02921263141e-06
36.0	8.5647402124e-07
37.0	1.22399777689e-07
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
