# Min=-100.0, Max=100.0, Bin size = 1.0
# Bin ranges
#	-100.0	-99.0	-98.0	-97.0	-96.0	-95.0	-94.0	-93.0	-92.0	-91.0	-90.0	-89.0	-88.0	-87.0	-86.0	-85.0	-84.0	-83.0	-82.0	-81.0	-80.0	-79.0	-78.0	-77.0	-76.0	-75.0	-74.0	-73.0	-72.0	-71.0	-70.0	-69.0	-68.0	-67.0	-66.0	-65.0	-64.0	-63.0	-62.0	-61.0	-60.0	-59.0	-58.0	-57.0	-56.0	-55.0	-54.0	-53.0	-52.0	-51.0	-50.0	-49.0	-48.0	-47.0	-46.0	-45.0	-44.0	-43.0	-42.0	-41.0	-40.0	-39.0	-38.0	-37.0	-36.0	-35.0	-34.0	-33.0	-32.0	-31.0	-30.0	-29.0	-28.0	-27.0	-26.0	-25.0	-24.0	-23.0	-22.0	-21.0	-20.0	-19.0	-18.0	-17.0	-16.0	-15.0	-14.0	-13.0	-12.0	-11.0	-10.0	-9.0	-8.0	-7.0	-6.0	-5.0	-4.0	-3.0	-2.0	-1.0	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
# Range	Density
-100.0	0.0
-99.0	0.0
-98.0	0.0
-97.0	0.0
-96.0	0.0
-95.0	0.0
-94.0	0.0
-93.0	0.0
-92.0	0.0
-91.0	0.0
-90.0	0.0
-89.0	0.0
-88.0	0.0
-87.0	0.0
-86.0	0.0
-85.0	0.0
-84.0	0.0
-83.0	0.0
-82.0	0.0
-81.0	0.0
-80.0	0.0
-79.0	0.0
-78.0	0.0
-77.0	0.0
-76.0	0.0
-75.0	0.0
-74.0	0.0
-73.0	0.0
-72.0	0.0
-71.0	0.0
-70.0	0.0
-69.0	0.0
-68.0	0.0
-67.0	0.0
-66.0	0.0
-65.0	0.0
-64.0	0.0
-63.0	0.0
-62.0	0.0
-61.0	0.0
-60.0	0.0
-59.0	0.0
-58.0	0.0
-57.0	0.0
-56.0	7.08731428673e-07
-55.0	2.07826474975e-05
-54.0	6.47481843913e-05
-53.0	0.000117527916926
-52.0	0.000235191447223
-51.0	0.000389665991935
-50.0	0.000531355391486
-49.0	0.000668330615796
-48.0	0.000781705062011
-47.0	0.000940936459421
-46.0	0.00121908089507
-45.0	0.00158701073093
-44.0	0.00204028805277
-43.0	0.00264080760951
-42.0	0.00332350574139
-41.0	0.00398470772466
-40.0	0.00455066045781
-39.0	0.00523728035921
-38.0	0.00590337127356
-37.0	0.0066140992831
-36.0	0.00746326132155
-35.0	0.00833924211128
-34.0	0.00923820324617
-33.0	0.0101595776003
-32.0	0.0109417117257
-31.0	0.0116212532113
-30.0	0.0123190481243
-29.0	0.0130743830672
-28.0	0.0137733751704
-27.0	0.0145110978249
-26.0	0.0152692162752
-25.0	0.0161407680682
-24.0	0.0171239440981
-23.0	0.017965208726
-22.0	0.0186258730541
-21.0	0.0191201343074
-20.0	0.0195363636227
-19.0	0.0199665310188
-18.0	0.0199488364907
-17.0	0.0195241073595
-16.0	0.0190032825161
-15.0	0.0184694937721
-14.0	0.0178715558144
-13.0	0.0172236960316
-12.0	0.016562270811
-11.0	0.0158630835963
-10.0	0.0151685678942
-9.0	0.0144558395706
-8.0	0.0137569970025
-7.0	0.0130158103258
-6.0	0.0122811378374
-5.0	0.0115547606017
-4.0	0.0108057979683
-3.0	0.0101047809222
-2.0	0.00943761972804
-1.0	0.00881294129335
0.0	0.00816585181542
1.0	0.00751835557614
2.0	0.00690443274502
3.0	0.00630350122475
4.0	0.00579639052862
5.0	0.00536364233557
6.0	0.00499331227217
7.0	0.00472275782854
8.0	0.00455561950728
9.0	0.0044626035652
10.0	0.00444453193786
11.0	0.00447856894415
12.0	0.00455636775997
13.0	0.00469329312354
14.0	0.00490103401451
15.0	0.00516444134193
16.0	0.00551348799157
17.0	0.00591719910863
18.0	0.00638759924321
19.0	0.00691026042175
20.0	0.00743497703391
21.0	0.00797746858544
22.0	0.00848417984618
23.0	0.0090136253322
24.0	0.00952262209404
25.0	0.00997760114619
26.0	0.010495576233
27.0	0.0110058011477
28.0	0.0114752951659
29.0	0.0117992983294
30.0	0.0119678452544
31.0	0.0120185248529
32.0	0.0120135719188
33.0	0.0119805119061
34.0	0.0120327967178
35.0	0.0119751538077
36.0	0.0117695865749
37.0	0.0115280511949
38.0	0.0112045809197
39.0	0.0108666522175
40.0	0.0103043292811
41.0	0.00965705817323
42.0	0.00912069878904
43.0	0.00858995645201
44.0	0.00805482680814
45.0	0.00755085112398
46.0	0.00706688181589
47.0	0.00661071977742
48.0	0.00614783516377
49.0	0.00538199862064
50.0	0.00425176281403
51.0	0.0033492193503
52.0	0.00265583610696
53.0	0.00187108057897
54.0	0.00112428320785
55.0	0.000496128681252
56.0	0.00016486787493
57.0	2.27997340664e-05
58.0	5.95164229507e-08
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
