# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	92.9236526489	92.9236526489	82.4265289307	90.0	90.0	90.0	711737.02241
2.0	92.8930587769	92.8930587769	82.5655441284	90.0	90.0	90.0	712468.01861
4.0	92.8498306274	92.8498306274	82.5796890259	90.0	90.0	90.0	711927.01777
6.0	92.760269165	92.760269165	82.4446258545	90.0	90.0	90.0	709392.106647
8.0	92.6765594482	92.6765594482	82.4451065063	90.0	90.0	90.0	708116.458191
10.0	92.7565460205	92.7565460205	82.4960632324	90.0	90.0	90.0	709777.717377
12.0	92.7928085327	92.7928085327	82.3501281738	90.0	90.0	90.0	709076.216364
14.0	92.8409194946	92.8409194946	82.3957901001	90.0	90.0	90.0	710205.266843
16.0	92.8845214844	92.8845214844	82.332611084	90.0	90.0	90.0	710327.428719
18.0	92.8547515869	92.8547515869	82.3701858521	90.0	90.0	90.0	710196.145393
20.0	92.8213806152	92.8213806152	82.6158981323	90.0	90.0	90.0	711802.77383
22.0	92.8144073486	92.8144073486	82.6267547607	90.0	90.0	90.0	711789.353135
24.0	92.7175140381	92.7175140381	82.65574646	90.0	90.0	90.0	710553.216545
26.0	92.8074569702	92.8074569702	82.6108856201	90.0	90.0	90.0	711546.068408
28.0	92.6398086548	92.6398086548	82.6082687378	90.0	90.0	90.0	708955.244008
30.0	92.7110748291	92.7110748291	82.7294921875	90.0	90.0	90.0	711088.394326
32.0	92.7672042847	92.7672042847	82.6387939453	90.0	90.0	90.0	711169.147317
34.0	92.6309051514	92.6309051514	82.5610046387	90.0	90.0	90.0	708413.427968
36.0	92.7201385498	92.7201385498	82.633140564	90.0	90.0	90.0	710399.100283
38.0	92.6753768921	92.6753768921	82.6244049072	90.0	90.0	90.0	709638.331869
