# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	30.3844272597	57.1461710356	59.3573035016	45.6811414892	56.4124711943
5.0	30.6413865377	56.737742682	59.2791019905	48.6943683699	56.0761475395
10.0	30.6875118163	56.8056578834	58.7250397344	49.3815594511	56.3459624546
15.0	30.2229419662	57.5116834905	59.030536052	47.3522825304	56.4969796373
20.0	30.658449784	57.3076533277	58.4937925688	50.5326649343	55.9950011577
25.0	30.4589410802	57.7439969317	57.4500558305	51.848344232	56.7655583662
30.0	30.3910231417	58.8558207547	56.7700934538	52.0585329728	56.3804505022
35.0	30.3053650962	58.4852638983	56.2649835777	49.1423156124	57.6685252519
40.0	30.9803421098	57.016472888	57.1372057862	48.7537476523	57.0411866343
45.0	31.1045074668	57.6087460707	57.1076329488	45.5575307067	56.5469137291
50.0	31.4788556453	58.2646229725	57.5147609344	44.3071539486	54.9009201106
55.0	30.970840073	56.784686201	58.295540184	42.3448389688	56.8903484842
60.0	30.849771056	58.4377418734	57.2321463006	44.28023778	56.2430410992
65.0	30.6390410704	57.2840737053	57.6427681874	45.1149601397	57.3651454883
70.0	30.3503784407	57.7329675187	57.2637664419	44.0087540198	57.9453302554
75.0	30.8182975178	58.2324829126	56.8106614378	38.6412283067	57.4544688259
80.0	30.4561164855	57.2206805477	57.860804777	39.4958569412	58.1600323311
85.0	30.3684508971	57.2566301121	56.5445733401	42.5320468092	59.1804715029
90.0	30.980174607	58.0208672461	57.09402783	48.0924672434	56.1421299962
95.0	30.5253405498	56.9501618585	57.3839011888	48.469098318	57.8241412409
100.0	31.2262800394	57.6161246128	56.1164557204	43.2176652551	57.4220575317
105.0	30.615469497	57.8625977474	57.2504140094	50.4292090544	56.655418517
110.0	30.1199871727	58.9700132768	56.0615078514	41.8892939922	58.4629094167
115.0	30.4500275759	56.9235526923	57.9493613431	40.1484323073	58.3244648424
120.0	30.2337861492	57.309446451	57.6809378564	46.0575614191	58.0217055866
125.0	30.3169029175	56.0363975515	57.7584722005	46.6997619823	58.994432413
130.0	29.9405304587	57.4579477005	56.8635598945	46.3806004491	59.1629767594
135.0	30.7467088472	55.9087937631	56.9202155067	47.6312739003	58.9238015635
140.0	30.0539999723	58.74690545	56.388704631	44.0326129148	58.3093292317
145.0	30.1003559243	58.5142681996	56.9382829867	39.3400996841	58.4238786839
150.0	30.85439147	58.4810071666	55.5277437716	36.1095302973	58.5415687753
155.0	30.278892996	58.2240033973	56.6106198367	42.2681496818	58.3590520032
160.0	30.6996323675	58.6958315537	57.3071398145	39.572729634	56.6885355744
165.0	31.2890565877	57.660292283	56.9402918458	33.6644397622	57.4662297589
170.0	31.0038335757	57.4050744583	56.6566973023	40.079149765	57.9055652993
175.0	30.4147225969	57.4392827834	57.8562323252	47.6753213442	57.2103146213
180.0	31.2532843591	56.010969715	57.589694982	42.8195803344	57.6870745277
185.0	30.7771905213	56.3845512239	57.7025420598	39.8413097702	58.4619278817
190.0	30.7966437659	58.1436451692	57.5469824859	42.9024317104	56.4978887807
195.0	31.1005778122	56.720049204	57.396615295	47.1367908995	57.0254354865
200.0	31.8469290731	56.4758920424	56.5240554768	43.5985373052	56.9160870386
205.0	31.8219974808	56.219259675	57.0716263068	44.7280857132	56.6167858601
210.0	30.6969425797	55.6798754499	57.060849076	45.5849730547	59.3302572478
215.0	31.7131388658	56.5640319326	57.4225823096	47.8384412886	55.8628460203
220.0	31.4527428823	57.0225726141	56.9461767086	49.1486682803	56.2228211942
225.0	31.6264289818	54.7614586493	57.9671875248	48.2327131153	57.3091797852
230.0	31.302622959	56.3229946244	58.0544268614	50.6572168881	56.0743173382
235.0	31.5697019565	56.9782815935	56.3889346395	48.3029135447	56.619160706
240.0	31.3408780696	57.6677058353	55.866559991	40.8833579245	57.5995450811
245.0	31.60817183	56.505956647	57.1296993454	40.4260533153	57.1356767752
250.0	31.4593991922	56.8146766468	56.9914981759	41.5374696809	57.137727766
255.0	30.8364839395	57.4612910464	58.174300283	34.9901785408	57.3271833186
260.0	31.28796433	56.1060625087	57.5467361369	41.5465189181	57.6885588065
265.0	31.067330313	56.2270964665	58.5955284159	44.464840355	56.7729895182
270.0	31.6569228335	55.6086985613	57.7532471064	39.258113974	57.4909461122
275.0	31.6351824005	54.9041145923	58.8978181547	43.0028996376	56.8344840815
280.0	31.596758098	54.7994180725	57.794315379	41.7630439821	58.1332360838
285.0	31.1810557773	56.8801170256	57.1229422176	40.377893304	57.6266587656
290.0	30.6550206479	55.8247615804	58.7369007878	41.9227074643	58.1269927463
295.0	29.9681277035	56.339195551	59.4666334011	41.1537559126	58.4064650808
300.0	30.5486980353	54.9671487276	60.4277425144	39.3598054212	57.9318123253
305.0	30.0750542682	56.9158001416	59.8162397519	39.4018775921	57.4765930326
310.0	29.9163626329	57.7830384375	58.612122	37.4318967276	58.2074853466
315.0	29.8986178866	58.8329778232	58.1488468477	39.3696089341	57.4162047059
320.0	29.8843831751	57.2236897058	59.9995847502	37.8973516601	57.5354876403
325.0	29.8417594505	58.423239665	57.964358115	39.7941869846	58.0631773075
330.0	30.0471965422	57.7719994282	57.05603371	37.8422680083	59.3162614288
335.0	30.3911972494	56.8821233862	57.2698790255	37.3791199666	59.3719403552
340.0	29.618580498	58.1019633696	58.5494437042	39.4695332313	58.3367146921
345.0	30.3121378534	59.9952195843	56.0695029921	38.8417113776	57.3510596447
350.0	30.4708815929	58.7017521919	57.2514240012	41.1263067117	57.0348532025
355.0	30.3617611253	57.2577307857	58.0076071793	43.9505666717	57.7341317645
360.0	30.7646652256	56.7659340773	58.6262581658	42.4966506374	57.0086917714
365.0	30.6498112489	57.6031533376	58.4557603719	39.7123104608	56.8330987099
370.0	30.4930076029	58.443573461	57.8986545486	38.0243166103	56.9763478275
375.0	30.777316202	56.7073403942	58.6027419428	41.1145067109	57.2014233537
380.0	30.6315095479	56.6290765596	59.0037656921	42.6217678917	57.0596761676
385.0	29.7994797833	57.2788412242	58.2637981882	49.0689235308	58.0951978872
390.0	30.4513144622	57.3247627905	59.132690477	46.6132024121	56.2091219934
395.0	30.4838771412	57.6077499249	58.5511693302	45.0795245779	56.5377153234
400.0	30.2185639424	55.6786475016	59.6289341249	44.8330008679	58.0520982152
405.0	30.5899404281	56.2748895755	58.3979431537	51.2984881024	57.174541784
410.0	30.9554408824	56.1284065513	59.4171994664	48.7998799916	55.922504841
415.0	30.0531917914	59.053653993	59.8231863686	47.4554287672	54.570875138
420.0	30.0798674213	57.273649533	60.4272890574	49.6350897687	55.5358814615
425.0	30.2145910667	57.4835264431	59.5093875005	46.7243754213	56.1736452452
430.0	29.9005198232	57.1229600237	58.9635289586	48.6940658763	57.4566832211
435.0	30.3562993042	57.8166864607	59.5425444068	45.27891838	55.6718015135
440.0	29.7751323315	58.7164840544	58.0904966416	44.8880734387	57.2803303593
445.0	30.081637885	59.6429668298	57.5853165755	42.3625114097	56.4480012881
450.0	30.4108448989	59.0577002068	57.890628486	45.9549499766	55.7407218519
455.0	30.7624278324	58.6400186851	57.433115787	45.7471081168	55.8878841297
460.0	30.6756645645	58.5886570544	58.1445557657	43.7364256905	55.6736358477
465.0	31.0423495514	58.2624526942	57.66801426	43.4109664774	55.7277986091
470.0	30.9095319909	58.5896009849	56.8891184907	42.3424373586	56.4741600152
475.0	30.4424032822	58.6748334818	57.7975755722	43.0277821458	56.4371077137
480.0	30.8151588393	58.5180958906	57.7081025474	46.1873949652	55.6128446727
485.0	30.8687116142	56.8347859903	58.1919184002	43.7585698541	56.996497111
490.0	30.648948189	59.325009932	57.0288625901	40.8496289006	56.2834376199
495.0	30.8408289369	57.943200844	56.6884647235	45.898826019	57.082834718
